
 Results 
=====

Correctly Classified Instances         240               73.8462 %
Incorrectly Classified Instances        85               26.1538 %
Kappa statistic                          0.7167
K&B Relative Info Score              21977.4612 %
K&B Information Score                 1128.0118 bits      3.4708 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme             1860.0909 bits      5.7234 bits/instance
Complexity improvement     (Sf)       -240.2248 bits     -0.7392 bits/instance
Mean absolute error                      0.0088
Root mean squared error                  0.0857
Relative absolute error                 27.2429 %
Root relative squared error             67.7753 %
Coverage of cases (0.95 level)          80.9231 %
Mean rel. region size (0.95 level)       2.2947 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.897    0.077    0.614      0.897    0.729      0.701    0.974     0.927     1
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     2
                 1.000    0.003    0.917      1.000    0.957      0.956    1.000     1.000     3
                 0.700    0.030    0.609      0.700    0.651      0.628    0.958     0.783     4
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     5
                 0.846    0.003    0.917      0.846    0.880      0.876    0.997     0.945     6
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     7
                 0.615    0.026    0.500      0.615    0.552      0.534    0.959     0.670     8
                 0.875    0.030    0.700      0.875    0.778      0.764    0.988     0.922     9
                 0.800    0.000    1.000      0.800    0.889      0.893    0.829     0.804     10
                 0.900    0.013    0.692      0.900    0.783      0.782    0.998     0.967     11
                 0.333    0.000    1.000      0.333    0.500      0.576    0.988     0.733     12
                 0.959    0.076    0.691      0.959    0.803      0.777    0.988     0.955     13
                 1.000    0.003    0.750      1.000    0.857      0.865    0.999     0.917     14
                 0.824    0.016    0.737      0.824    0.778      0.766    0.994     0.917     15
                 0.714    0.003    0.833      0.714    0.769      0.767    0.987     0.865     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.186     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.100     19
                 0.600    0.000    1.000      0.600    0.750      0.772    0.997     0.871     20
                 0.833    0.000    1.000      0.833    0.909      0.911    1.000     1.000     21
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     22
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.056     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.750    0.003    0.750      0.750    0.750      0.747    0.998     0.917     26
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     27
                 0.800    0.006    0.800      0.800    0.800      0.794    0.995     0.885     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.525     0.011     30
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.573     0.011     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.125     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     35
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     37
                 0.333    0.000    1.000      0.333    0.500      0.574    0.962     0.545     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.250     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.167     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.077     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.083     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.700     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.111     45
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.071     51
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.050     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.077     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.579     0.011     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.100     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.935     0.045     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     59
Weighted Avg.    0.738    0.028    0.679      0.738    0.693      0.685    0.971     0.839     
