
 Results 
=====

Correctly Classified Instances         148               71.1538 %
Incorrectly Classified Instances        60               28.8462 %
Kappa statistic                          0.6848
K&B Relative Info Score              13484.7088 %
K&B Information Score                  703.1182 bits      3.3804 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme             1242.9445 bits      5.9757 bits/instance
Complexity improvement     (Sf)       -181.453  bits     -0.8724 bits/instance
Mean absolute error                      0.0105
Root mean squared error                  0.0935
Relative absolute error                 31.0052 %
Root relative squared error             72.0157 %
Coverage of cases (0.95 level)          77.4038 %
Mean rel. region size (0.95 level)       2.6013 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.800    0.000    1.000      0.800    0.889      0.892    0.999     0.967     5
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     6
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     8
                 0.600    0.000    1.000      0.600    0.750      0.771    0.947     0.777     9
                 0.861    0.122    0.596      0.861    0.705      0.646    0.952     0.886     10
                 0.950    0.037    0.731      0.950    0.826      0.814    0.990     0.943     11
                 1.000    0.005    0.875      1.000    0.933      0.933    0.999     0.982     12
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.100     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.888     0.681     17
                 1.000    0.106    0.487      1.000    0.655      0.660    0.983     0.845     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     19
                 0.923    0.005    0.923      0.923    0.923      0.918    1.000     0.995     20
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.947     0.083     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     22
                 0.667    0.000    1.000      0.667    0.800      0.812    0.980     0.808     23
                 0.667    0.000    1.000      0.667    0.800      0.815    0.792     0.674     24
                 0.667    0.005    0.667      0.667    0.667      0.662    0.810     0.675     25
                 0.500    0.000    1.000      0.500    0.667      0.704    0.896     0.545     26
                 0.833    0.000    1.000      0.833    0.909      0.911    0.998     0.958     27
                 0.000    0.014    0.000      0.000    0.000      -0.008   0.976     0.167     28
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     30
                 0.667    0.000    1.000      0.667    0.800      0.815    0.735     0.673     31
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.990     0.333     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     36
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.961     0.111     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.091     38
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.583     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.852     0.266     44
                 0.500    0.000    1.000      0.500    0.667      0.705    0.966     0.563     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     46
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     48
                 0.500    0.000    1.000      0.500    0.667      0.705    0.983     0.611     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.167     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.059     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.500    0.005    0.500      0.500    0.500      0.495    0.998     0.833     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.100     56
Weighted Avg.    0.712    0.035    0.675      0.712    0.669      0.662    0.969     0.818     
