
 Results 
=====

Correctly Classified Instances         220               82.0896 %
Incorrectly Classified Instances        48               17.9104 %
Kappa statistic                          0.801 
K&B Relative Info Score              16603.5646 %
K&B Information Score                  743.3438 bits      2.7737 bits/instance
Class complexity | order 0            1172.2356 bits      4.374  bits/instance
Class complexity | scheme            14290.5091 bits     53.3228 bits/instance
Complexity improvement     (Sf)     -13118.2735 bits    -48.9488 bits/instance
Mean absolute error                      0.0299
Root mean squared error                  0.1057
Relative absolute error                 58.1005 %
Root relative squared error             66.021  %
Coverage of cases (0.95 level)          95.1493 %
Mean rel. region size (0.95 level)      29.944  %
Total Number of Instances              268     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.964    0.150    0.624      0.964    0.757      0.706    0.983     0.953     1
                 1.000    0.008    0.867      1.000    0.929      0.927    1.000     1.000     2
                 0.923    0.004    0.923      0.923    0.923      0.919    0.999     0.982     3
                 0.857    0.004    0.857      0.857    0.857      0.853    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.667    0.004    0.933      0.667    0.778      0.775    0.953     0.804     6
                 1.000    0.008    0.920      1.000    0.958      0.955    1.000     0.998     7
                 0.941    0.000    1.000      0.941    0.970      0.968    1.000     0.994     8
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.996     0.639     9
                 0.733    0.008    0.846      0.733    0.786      0.776    0.971     0.847     10
                 0.692    0.012    0.750      0.692    0.720      0.707    0.995     0.936     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.325     0.007     12
                 0.833    0.000    1.000      0.833    0.909      0.911    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     14
                 0.857    0.000    1.000      0.857    0.923      0.924    0.974     0.874     15
                 0.667    0.000    1.000      0.667    0.800      0.815    0.765     0.670     16
                 0.850    0.004    0.944      0.850    0.895      0.888    0.980     0.923     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.004     18
                 0.857    0.000    1.000      0.857    0.923      0.924    0.981     0.878     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     21
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.004     23
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.004     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.421     0.004     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     29
                 1.000    0.008    0.714      1.000    0.833      0.842    0.998     0.927     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.399     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.004     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.388     0.004     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.431     0.004     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.004     36
Weighted Avg.    0.821    0.034    0.799      0.821    0.798      0.785    0.959     0.896     
