
 Results 
=====

Correctly Classified Instances         152               60.3175 %
Incorrectly Classified Instances       100               39.6825 %
Kappa statistic                          0.4117
K&B Relative Info Score              11027.8164 %
K&B Information Score                  522.8403 bits      2.0748 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme            37920.2445 bits    150.4772 bits/instance
Complexity improvement     (Sf)     -36793.5386 bits   -146.0061 bits/instance
Mean absolute error                      0.0186
Root mean squared error                  0.0938
Relative absolute error                 65.6395 %
Root relative squared error             80.0294 %
Coverage of cases (0.95 level)          85.3175 %
Mean rel. region size (0.95 level)      18.5857 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.625    0.000    1.000      0.625    0.769      0.786    0.998     0.942     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.456     0.004     2
                 1.000    0.662    0.502      1.000    0.669      0.412    0.949     0.941     3
                 0.167    0.000    1.000      0.167    0.286      0.404    0.998     0.944     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.382     0.008     5
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     6
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.966     0.819     8
                 0.857    0.000    1.000      0.857    0.923      0.924    0.981     0.878     9
                 0.400    0.000    1.000      0.400    0.571      0.629    1.000     1.000     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.418     0.004     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.004     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.450     0.004     14
                 0.571    0.000    1.000      0.571    0.727      0.747    0.886     0.778     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.369     0.004     16
                 0.400    0.000    1.000      0.400    0.571      0.629    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.775     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.333     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.989     0.292     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.889     0.053     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.583     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.910     0.063     23
                 0.714    0.000    1.000      0.714    0.833      0.842    0.929     0.828     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.404     0.004     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.918     0.059     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.746     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.404     0.004     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.004     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.082     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.840     0.035     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.740     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.446     0.004     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.004     40
                 0.667    0.000    1.000      0.667    0.800      0.812    0.940     0.715     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.599     0.012     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.004     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.583     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     47
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.004     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.418     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.004     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.426     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.418     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.430     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.458     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.414     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.450     0.004     61
Weighted Avg.    0.603    0.265    0.531      0.603    0.511      0.417    0.884     0.739     
