
 Results 
=====

Correctly Classified Instances         135               64.9038 %
Incorrectly Classified Instances        73               35.0962 %
Kappa statistic                          0.6066
K&B Relative Info Score              10594.5963 %
K&B Information Score                  552.4223 bits      2.6559 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme            31428.6282 bits    151.0992 bits/instance
Complexity improvement     (Sf)     -30367.1367 bits   -145.9958 bits/instance
Mean absolute error                      0.0225
Root mean squared error                  0.0979
Relative absolute error                 66.342  %
Root relative squared error             75.4176 %
Coverage of cases (0.95 level)          85.5769 %
Mean rel. region size (0.95 level)      24.9141 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.391     0.005     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.430     0.005     2
                 1.000    0.005    0.900      1.000    0.947      0.946    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.800    0.005    0.800      0.800    0.800      0.795    0.998     0.903     5
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     6
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.365     0.005     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.890     0.328     9
                 0.972    0.331    0.380      0.972    0.547      0.488    0.951     0.890     10
                 0.950    0.005    0.950      0.950    0.950      0.945    1.000     1.000     11
                 0.714    0.000    1.000      0.714    0.833      0.841    0.994     0.886     12
                 0.500    0.000    1.000      0.500    0.667      0.704    0.999     0.950     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.005     14
                 1.000    0.005    0.667      1.000    0.800      0.815    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.005     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.967     0.704     17
                 0.737    0.048    0.609      0.737    0.667      0.633    0.968     0.813     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.005     19
                 1.000    0.015    0.813      1.000    0.897      0.894    0.999     0.990     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.005     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.005     22
                 0.667    0.000    1.000      0.667    0.800      0.812    0.965     0.850     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.954     0.691     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.946     0.579     25
                 0.500    0.000    1.000      0.500    0.667      0.704    0.975     0.725     26
                 0.833    0.000    1.000      0.833    0.909      0.911    0.999     0.948     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.425     0.005     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.005     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.005     30
                 0.333    0.000    1.000      0.333    0.500      0.575    0.754     0.671     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.005     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.399     0.005     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.005     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.396     0.005     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.386     0.005     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.425     0.005     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.391     0.005     39
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.418     0.005     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.355     0.005     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.413     0.005     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.667     44
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.411     0.005     46
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.399     0.005     48
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.403     0.005     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.435     0.005     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.005     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.005     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.005     56
Weighted Avg.    0.649    0.064    0.593      0.649    0.586      0.577    0.900     0.772     
