
 Results 
=====

Correctly Classified Instances         172               68.254  %
Incorrectly Classified Instances        80               31.746  %
Kappa statistic                          0.5542
K&B Relative Info Score              12297.448  %
K&B Information Score                  583.0349 bits      2.3136 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme             1368.6949 bits      5.4313 bits/instance
Complexity improvement     (Sf)       -241.989  bits     -0.9603 bits/instance
Mean absolute error                      0.015 
Root mean squared error                  0.0909
Relative absolute error                 53.2316 %
Root relative squared error             77.6173 %
Coverage of cases (0.95 level)          86.1111 %
Mean rel. region size (0.95 level)      16.9659 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.875    0.004    0.875      0.875    0.875      0.871    0.997     0.932     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     2
                 0.990    0.503    0.568      0.990    0.722      0.520    0.938     0.928     3
                 0.833    0.000    1.000      0.833    0.909      0.911    0.996     0.917     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.304     0.009     5
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     6
                 0.667    0.000    1.000      0.667    0.800      0.815    0.999     0.917     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.969     0.823     8
                 0.857    0.000    1.000      0.857    0.923      0.924    0.988     0.893     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.829     0.023     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.789     0.019     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.025     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.793     0.019     14
                 0.643    0.004    0.900      0.643    0.750      0.749    0.897     0.776     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.343     0.006     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.500    0.000    1.000      0.500    0.667      0.704    0.992     0.736     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.325     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.367     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.874     0.062     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.583     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.895     0.060     23
                 0.714    0.004    0.833      0.714    0.769      0.766    0.920     0.844     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.721     0.014     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.317     27
                 0.000    0.004    0.000      0.000    0.000      -0.008   0.985     0.709     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.398     0.007     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.446     0.007     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.809     0.020     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.680     0.090     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.857     0.027     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.956     0.083     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.843     0.035     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.691     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.669     0.012     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.745     0.015     40
                 0.667    0.000    1.000      0.667    0.800      0.812    0.932     0.715     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.015     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.701     0.013     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.583     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.355     0.006     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     46
                 0.667    0.000    1.000      0.667    0.800      0.815    0.995     0.810     47
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.502     0.008     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.661     0.012     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.578     0.009     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.725     0.014     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.546     0.009     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.805     0.020     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.869     0.029     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.765     0.017     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.761     0.016     58
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.821     0.022     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.888     0.034     61
Weighted Avg.    0.683    0.202    0.583      0.683    0.603      0.524    0.911     0.739     
