
 Results 
=====

Correctly Classified Instances         223               73.3553 %
Incorrectly Classified Instances        81               26.6447 %
Kappa statistic                          0.7107
K&B Relative Info Score              18754.1202 %
K&B Information Score                  939.4481 bits      3.0903 bits/instance
Class complexity | order 0            1487.923  bits      4.8945 bits/instance
Class complexity | scheme             1204.6083 bits      3.9625 bits/instance
Complexity improvement     (Sf)        283.3146 bits      0.932  bits/instance
Mean absolute error                      0.0176
Root mean squared error                  0.0892
Relative absolute error                 50.2647 %
Root relative squared error             67.4607 %
Coverage of cases (0.95 level)          91.7763 %
Mean rel. region size (0.95 level)      19.5846 %
Total Number of Instances              304     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.909    0.146    0.513      0.909    0.656      0.615    0.952     0.879     1
                 0.833    0.045    0.714      0.833    0.769      0.738    0.959     0.817     2
                 0.800    0.003    0.800      0.800    0.800      0.797    0.867     0.805     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.941    0.007    0.889      0.941    0.914      0.909    0.991     0.958     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.500    0.000    1.000      0.500    0.667      0.702    0.917     0.647     7
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.828     0.019     9
                 0.692    0.017    0.643      0.692    0.667      0.652    0.985     0.767     10
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     11
                 0.800    0.000    1.000      0.800    0.889      0.893    0.981     0.830     12
                 1.000    0.004    0.950      1.000    0.974      0.973    1.000     0.997     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.832     0.019     14
                 0.667    0.003    0.800      0.667    0.727      0.725    0.998     0.897     15
                 0.688    0.021    0.647      0.688    0.667      0.648    0.950     0.744     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.848     0.021     17
                 0.947    0.028    0.692      0.947    0.800      0.796    0.983     0.918     18
                 0.714    0.003    0.833      0.714    0.769      0.767    0.995     0.877     19
                 0.846    0.010    0.786      0.846    0.815      0.807    0.992     0.862     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.851     0.022     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.884     0.028     22
                 0.692    0.010    0.750      0.692    0.720      0.709    0.981     0.758     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.690     0.011     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.857     0.042     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.901     0.032     26
                 0.750    0.000    1.000      0.750    0.857      0.865    0.870     0.756     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.627     0.009     28
                 0.667    0.000    1.000      0.667    0.800      0.815    0.998     0.867     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     31
                 0.667    0.000    1.000      0.667    0.800      0.815    0.962     0.692     32
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     33
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     34
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.200     36
                 0.750    0.000    1.000      0.750    0.857      0.865    0.983     0.790     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.825     0.019     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.225     39
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.772     0.014     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.752     0.013     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.861     0.023     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.403     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.746     0.013     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.710     0.011     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.021     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.121     0.006     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.620     0.009     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.868     0.024     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.851     0.022     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.799     0.016     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     54
Weighted Avg.    0.734    0.032    0.684      0.734    0.693      0.683    0.955     0.784     
