
 Results 
=====

Correctly Classified Instances         214               70.8609 %
Incorrectly Classified Instances        88               29.1391 %
Kappa statistic                          0.6883
K&B Relative Info Score              17668.5003 %
K&B Information Score                  971.3434 bits      3.2164 bits/instance
Class complexity | order 0            1623.5659 bits      5.376  bits/instance
Class complexity | scheme             1679.2319 bits      5.5604 bits/instance
Complexity improvement     (Sf)        -55.6661 bits     -0.1843 bits/instance
Mean absolute error                      0.0148
Root mean squared error                  0.0809
Relative absolute error                 54.4913 %
Root relative squared error             69.6559 %
Coverage of cases (0.95 level)          87.4172 %
Mean rel. region size (0.95 level)      20.0681 %
Total Number of Instances              302     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.842    0.042    0.571      0.842    0.681      0.669    0.961     0.867     1
                 0.944    0.025    0.708      0.944    0.810      0.805    0.946     0.915     2
                 0.951    0.123    0.549      0.951    0.696      0.669    0.976     0.906     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     5
                 0.750    0.000    1.000      0.750    0.857      0.865    0.994     0.841     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     8
                 1.000    0.003    0.750      1.000    0.857      0.865    0.999     0.917     9
                 0.846    0.007    0.846      0.846    0.846      0.839    0.996     0.930     10
                 1.000    0.003    0.917      1.000    0.957      0.956    0.999     0.984     11
                 0.875    0.000    1.000      0.875    0.933      0.934    0.958     0.884     12
                 0.833    0.003    0.833      0.833    0.833      0.830    0.972     0.824     13
                 0.895    0.057    0.515      0.895    0.654      0.652    0.959     0.781     14
                 0.824    0.014    0.778      0.824    0.800      0.788    0.991     0.918     15
                 0.727    0.007    0.800      0.727    0.762      0.754    0.950     0.872     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.781     0.015     17
                 0.333    0.000    1.000      0.333    0.500      0.575    0.707     0.670     18
                 0.800    0.003    0.800      0.800    0.800      0.797    0.987     0.593     19
                 0.800    0.000    1.000      0.800    0.889      0.893    0.998     0.925     20
                 0.500    0.010    0.625      0.500    0.556      0.546    0.889     0.542     21
                 0.941    0.014    0.800      0.941    0.865      0.859    0.998     0.969     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.787     0.015     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.777     0.015     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     25
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     26
                 0.500    0.000    1.000      0.500    0.667      0.706    0.995     0.700     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.083     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.834     0.020     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.591     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.904     0.033     32
                 0.600    0.000    1.000      0.600    0.750      0.772    0.860     0.705     33
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     34
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.831     0.019     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.486     0.012     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.113     0.006     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.817     0.018     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.771     0.014     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.797     0.016     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.834     0.020     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.761     0.014     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.767     0.014     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.777     0.015     47
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.731     0.012     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.857     0.023     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.764     0.014     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.700     52
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.841     0.020     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.797     0.016     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.827     0.019     56
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.930     0.045     57
