
 Results 
=====

Correctly Classified Instances         147               70.6731 %
Incorrectly Classified Instances        61               29.3269 %
Kappa statistic                          0.6768
K&B Relative Info Score              12912.9949 %
K&B Information Score                  673.3079 bits      3.2371 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme              717.3639 bits      3.4489 bits/instance
Complexity improvement     (Sf)        344.1276 bits      1.6545 bits/instance
Mean absolute error                      0.0166
Root mean squared error                  0.0876
Relative absolute error                 48.8567 %
Root relative squared error             67.4671 %
Coverage of cases (0.95 level)          89.9038 %
Mean rel. region size (0.95 level)      19.6514 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.860     0.033     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 1.000    0.005    0.857      1.000    0.923      0.924    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     6
                 0.333    0.005    0.500      0.333    0.400      0.401    0.993     0.700     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.589     0.012     8
                 0.400    0.000    1.000      0.400    0.571      0.628    0.876     0.662     9
                 0.917    0.180    0.516      0.917    0.660      0.604    0.952     0.892     10
                 0.950    0.032    0.760      0.950    0.844      0.832    0.996     0.975     11
                 0.857    0.000    1.000      0.857    0.923      0.924    0.999     0.982     12
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.763     0.020     16
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     17
                 1.000    0.085    0.543      1.000    0.704      0.705    0.988     0.893     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.802     0.024     19
                 0.923    0.005    0.923      0.923    0.923      0.918    0.999     0.986     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.734     0.018     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.589     0.012     22
                 0.667    0.000    1.000      0.667    0.800      0.812    0.960     0.745     23
                 0.333    0.000    1.000      0.333    0.500      0.575    0.920     0.686     24
                 0.667    0.000    1.000      0.667    0.800      0.815    0.937     0.690     25
                 0.500    0.005    0.667      0.500    0.571      0.570    0.983     0.679     26
                 0.833    0.005    0.833      0.833    0.833      0.828    0.996     0.924     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.100     28
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     30
                 0.667    0.000    1.000      0.667    0.800      0.815    0.714     0.672     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.023     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.023     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.729     0.018     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.614     0.012     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     39
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.995     0.583     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.831     0.028     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.691     0.015     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.167     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.667     44
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     45
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.981     0.200     46
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.734     0.018     48
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.763     0.020     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.030     51
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.802     0.024     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.763     0.020     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.860     0.033     56
Weighted Avg.    0.707    0.043    0.651      0.707    0.651      0.644    0.957     0.802     
