@relation 'Dataset kitsi publish-venue_title_co-authors yliu'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52}
@data
'dm number maximum match bipartit graph posit surplu g liu',1
'network fraction match number graph g liu',1
'icpr wavelet imag code us cluster grow embed y li',2
'sswmc lot base adapt imag watermark b ni x feng e delp',2
'waim user interest detect web page build person inform agent w liu c jiang',3
'icpr structur approach recogn incomplet graphic object w liu c jiang',3
'icdar onlin segment freehand stroke dynam program y yajie l wenyin',3
'sspr novel constraint base approach onlin graphic recognit l yan g huang w liu',3
'sspr sketch recognit base topolog spatial relationship b peng w liu g huang',3
'infocom unrespons flow aqm perform c hollot v misra d towsley',4
'tomac scalabl fluid model simul larg scale ip network f presti v misra d towsley y gu',4
'infocom stochast fluid theori p2p stream system r kumar k ross',4
'sigmetr fluid model solut larg scale ip network f presti v misra d towsley y gu',4
'infocom tcp friendli voip traffic t bu d towsley',4
'cn self similar long rang depend internet second look evid origin implic w gong v misra d towsley',4
'infocom integr fluid model packet simul y gu d towsley',4
'wsc impact concurr download w gong p shenoy',4
'imc inform theoret approach network monitor measur d towsley t ye j bolot',4
'infocom optim rout multipl traffic matric c zhang w gong j kurose r moll d towsley',4
'vc real time simul physic base surfac flow h zhu x liu e wu',5
'jvca improv studi real time fluid simul gpu e wu x liu',5
'pg real time 3d fluid simul gpu complex obstacl x liu e wu',5
'jvca simul miscibl binari mixtur base lattic boltzmann method h zhu x liu e wu',5
'icnp stabil sensit congest control wireless network time vari link capac g zhang y wu',6
'msn coverag problem direct sensor network h ma',6
'tmc rout correl data fusion cost wireless sensor network h luo s das',6
'ccr dvsr high perform metro ring protocol l balzano v gambiroza p yuan e knightly s sheafor',6
'pcm energi effici cooper imag process video sensor network d tao h ma',6
'tc adapt data fusion energi effici rout wireless sensor network h luo j luo s das',6
'infocom opportunist fair schedul multipl wireless channel e knightly',6
'dialm energi effici rout adapt data fusion sensor network h luo j luo',6
'tochi queue network model human processor qn mhp comput architectur multitask perform human machin system r feyen o tsimhoni',7
'ijmm comput model experiment investig effect composit element interfac design aesthet m bauerly',7
'ijmm monitor behavior manual autom schedul system r fuld c wickens',7
'tc effect memori bandwidth processor block probabl multipl bu system c jou',8
'tc perform model priorit multipl bu multiprocessor system l john',8
'jpdc analysi priorit crossbar multiprocessor system c wang',8
'icpr flag guid integr multipl regist rang imag h zhou',9
'icpr discontinu base simplif free form surfac rang imag g fei b wei l li',9
'3dpvt transform least squar weight least squar accur rang imag registr h zhou x su m ni r lloyd',9
'ra develop structur constraint accur registr overlap rang imag b wei',9
'ivc automat registr overlap 3d point cloud us closest point nan',9
