@relation 'Dataset kitsi publish-venue_title_co-authors ywang'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62}
@data
'icip system transport interfac h 264 avc scalabl extens s wenger m hannuksela',1
'jcst av m standard applic nan',1
'vcip block truncat code adapt decim interpol g tu',1
'icip sub pictur roi code unequ error protect m hannuksela m gabbouj',1
'icip error conceal featur h 26l test model m hannuksela v varsa a hourunranta m gabbouj',1
'icip code fade scene transit d tian m hannuksela m gabbouj',1
'vlbv improv error conceal us scene inform m hannuksela k caglar m gabbouj',1
'icip error resili mode decis scalabl video code y guo h li',1
'icip error resili video code us redund pictur c zhu m hannuksela h li',1
'vlbv error resili video code us unequ protect kei pictur m hannuksela m gabbouj',1
'tmm isol region video code m hannuksela m gabbouj',1
'ccece formal descript time manag real time oper system f rusu banu',2
'ccece design cognit complex measur analysi tool v chiew',2
'ieeeicci layer refer model brain y wang s patel d patel',2
'ieeeicci formal descript cognit process decis make d liu g ruhe',2
'ieeeicci autonom comput cognit process nan',2
'ccece implement real time process rtpa us real time java c ngolah x tan',2
'ieeeicci formal descript cognit process problem solv v chiew',2
'ieeeicci cognit process comprehens d gafurov',2
'ooi latest develop cognit informat nan',2
'ieeeicci inform knowledg represent brain d liu',2
'ieeeicci cognit informat nan',2
'profe softwar engin process benchmark v chiew',2
'ieeeicci cognit model brain y wang',2
'ccece design implement automat rtpa code gener x tan c ngolah',2
'ieeeicci cognit process abstract formal infer nan',2
'ansoft real time process algebra rtpa nan',2
'ieeeicci measur cognit function complex softwar j shao',2
'ieeeicci cognit properti human factor engin nan',2
'ieeeicci mathemat model properti game nan',2
'cvpr shape base 3d surfac correspond us geodes local geometri b peterson l staib',3
'cviu 3d brain surfac match base geodes local geometri b peterson l staib',3
'cvpr boundari find correspond us statist shape model l staib',3
'cviu detect imag orient base low level visual content h zhang',3
'isbi pyramid search maximum coher direct biomed imag interpol j zhang b guo',3
'pami boundari find prior shape smooth model l staib',3
'ipmi nonlinear estim model fmri data us spatio tempor support vector regress r schultz r constable l staib',3
'corr error expon channel code side inform p moulin',4
'sswmc achiev error expon watermark p moulin',4
'sswmc steganalysi block structur stegotext p moulin',4
