@relation 'Dataset kitsi title jwang'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}
@data
'studi aesthet photograph imag us comput approach',1
'simplic semant sensit integr match pictur librari',1
'studi digit imageri ancient paint mixtur stochast model',1
'system screen objection imag',1
'unsupervis multiresolut segment imag low depth field',1
'divers multimedia inform retriev research',1
'classif textur non textur imag us region segment',1
'multiresolut object interest detect imag low depth field',1
'region base retriev biomed imag',1
'region base fuzzi featur match approach content base imag retriev',1
'architectur creat collabor semant capabl scientif data share infrastructur',1
'spars support vector machin approach region base imag categor',1
'toward bridg annot retriev gap imag search gener model approach',1
'automat linguist index pictur statist model approach',1
'evalu strategi automat linguist index pictur',1
'irm integr region match imag retriev',1
'rf ipf weight scheme multimedia inform retriev',1
'stori pictur engin system automat text illustr',1
'imagin robust imag base captcha gener system',1
'content base imag retriev cluster',1
'mile multipl instanc learn via embed instanc select',1
'machin annot retriev digit imageri histor materi',1
'sst algorithm find near exact sequenc match time proport logarithm databas size',1
'automat categor figur scientif document',1
'clue cluster base retriev imag unsupervis learn',1
'wavelet base imag index techniqu partial sketch retriev capabl',1
'deriv knowledg figur digit librari',1
'real time computer annot pictur',1
'digit imageri signific cultur histor materi',1
'simplic semant sensit integr match pictur librari',1
'classifi objection websit base imag content',1
'paragrab comprehens architectur web imag manag multimod queri',1
'scalabl integr region base imag retriev us irm statist cluster',1
'imag categor learn reason region',1
'learn base linguist index pictur d mhmm',1
'computation effici approach estim two three dimension hidden markov model',1
'scalabl integr region base imag retriev system',1
'content base imag index search us daubechi wavelet',1
'stochast model imag d hidden markov model',1
'iter optim approach unifi imag segment mat',2
'imag video segment anisotrop kernel mean shift',2
'interact video cutout',2
'video toon',2
'resourc constrain workflow model',3
'constraint propag progress verif compon base process model',3
'composit time petri net reduct rule',3
'increment architectur model verif real time concurr system',3
'dynam workflow model verif',3
'perform analysi traffic network base stochast time petri net model',3
'approach model analysi secur system architectur',3
'intuit formal approach dynam workflow model analysi',3
'integr architectur model analysi high assur command control system design',3
'integr architectur model analysi high assur command control system design',3
'introduc softwar architectur specif analysi sam exampl',3
