
 Results 
=====

Correctly Classified Instances         139               42.7692 %
Incorrectly Classified Instances       186               57.2308 %
Kappa statistic                          0.3657
K&B Relative Info Score              11294.8799 %
K&B Information Score                  579.7193 bits      1.7838 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme           124957.1054 bits    384.4834 bits/instance
Complexity improvement     (Sf)    -123337.2393 bits   -379.4992 bits/instance
Mean absolute error                      0.0221
Root mean squared error                  0.1221
Relative absolute error                 68.6103 %
Root relative squared error             96.575  %
Coverage of cases (0.95 level)          59.3846 %
Mean rel. region size (0.95 level)      12.5319 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.667    0.035    0.722      0.667    0.693      0.654    0.812     0.629     1
                 0.500    0.009    0.400      0.500    0.444      0.440    0.853     0.311     2
                 0.545    0.013    0.600      0.545    0.571      0.558    0.852     0.484     3
                 0.300    0.026    0.429      0.300    0.353      0.324    0.681     0.268     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.009     5
                 0.385    0.026    0.385      0.385    0.385      0.359    0.723     0.259     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.231    0.032    0.231      0.231    0.231      0.199    0.595     0.142     8
                 0.417    0.010    0.769      0.417    0.541      0.543    0.823     0.510     9
                 0.800    0.003    0.800      0.800    0.800      0.797    0.893     0.643     10
                 0.300    0.000    1.000      0.300    0.462      0.542    0.860     0.382     11
                 0.333    0.003    0.500      0.333    0.400      0.404    0.664     0.173     12
                 0.878    0.380    0.291      0.878    0.437      0.357    0.754     0.281     13
                 0.333    0.000    1.000      0.333    0.500      0.576    0.560     0.339     14
                 0.353    0.029    0.400      0.353    0.375      0.344    0.694     0.345     15
                 0.143    0.016    0.167      0.143    0.154      0.137    0.596     0.095     16
                 0.750    0.006    0.600      0.750    0.667      0.666    0.870     0.453     17
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.480     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     19
                 0.000    0.003    0.000      0.000    0.000      -0.007   0.653     0.116     20
                 0.000    0.003    0.000      0.000    0.000      -0.008   0.525     0.071     21
                 0.600    0.013    0.600      0.600    0.600      0.587    0.926     0.541     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.567     0.019     23
                 0.000    0.009    0.000      0.000    0.000      -0.005   0.495     0.003     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.671     0.033     25
                 0.250    0.009    0.250      0.250    0.250      0.241    0.616     0.059     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.006     27
                 0.400    0.006    0.667      0.400    0.500      0.505    0.757     0.357     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.338     0.003     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.450     0.006     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.006     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.474     0.006     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     34
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.497     0.006     35
                 0.750    0.000    1.000      0.750    0.857      0.865    0.875     0.753     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     37
                 0.000    0.003    0.000      0.000    0.000      -0.008   0.645     0.100     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.299     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.315     0.003     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.583     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.503     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.483     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.003     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.336     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.003     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.003     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.720     0.170     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.003     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.295     0.003     59
Weighted Avg.    0.428    0.070    0.422      0.428    0.389      0.368    0.721     0.327     
