
 Results 
=====

Correctly Classified Instances         125               41.1184 %
Incorrectly Classified Instances       179               58.8816 %
Kappa statistic                          0.3517
K&B Relative Info Score              10485.6024 %
K&B Information Score                  525.2541 bits      1.7278 bits/instance
Class complexity | order 0            1487.923  bits      4.8945 bits/instance
Class complexity | scheme           125952.3647 bits    414.317  bits/instance
Complexity improvement     (Sf)    -124464.4418 bits   -409.4225 bits/instance
Mean absolute error                      0.0238
Root mean squared error                  0.1278
Relative absolute error                 67.8922 %
Root relative squared error             96.7138 %
Coverage of cases (0.95 level)          59.8684 %
Mean rel. region size (0.95 level)      12.4878 %
Total Number of Instances              304     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.864    0.319    0.314      0.864    0.461      0.391    0.763     0.278     1
                 0.556    0.060    0.556      0.556    0.556      0.496    0.764     0.526     2
                 0.200    0.013    0.200      0.200    0.200      0.187    0.542     0.113     3
                 0.000    0.007    0.000      0.000    0.000      -0.008   0.495     0.010     4
                 0.471    0.028    0.500      0.471    0.485      0.456    0.750     0.528     5
                 0.857    0.000    1.000      0.857    0.923      0.924    0.926     0.860     6
                 0.375    0.010    0.500      0.375    0.429      0.420    0.761     0.410     7
                 0.091    0.014    0.200      0.091    0.125      0.113    0.588     0.072     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.003     9
                 0.308    0.021    0.400      0.308    0.348      0.326    0.931     0.419     10
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.731     0.045     11
                 0.200    0.003    0.500      0.200    0.286      0.309    0.766     0.154     12
                 0.684    0.025    0.650      0.684    0.667      0.644    0.900     0.762     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.766     0.047     15
                 0.563    0.021    0.600      0.563    0.581      0.558    0.857     0.579     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.459     0.003     17
                 0.632    0.025    0.632      0.632    0.632      0.607    0.868     0.596     18
                 0.429    0.020    0.333      0.429    0.375      0.361    0.663     0.227     19
                 0.154    0.017    0.286      0.154    0.200      0.184    0.672     0.153     20
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.497     0.003     21
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.396     0.003     22
                 0.077    0.021    0.143      0.077    0.100      0.076    0.577     0.066     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.399     0.010     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.003     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.555     0.020     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.408     0.003     28
                 0.333    0.010    0.250      0.333    0.286      0.281    0.643     0.090     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.726     0.037     30
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.472     0.007     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.826     0.559     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.733     0.049     33
                 0.667    0.007    0.500      0.667    0.571      0.573    0.769     0.337     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.553     0.173     35
                 0.000    0.007    0.000      0.000    0.000      -0.007   0.497     0.007     36
                 0.000    0.003    0.000      0.000    0.000      -0.007   0.604     0.023     37
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.495     0.003     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.007     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.462     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     43
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.387     0.010     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.323     0.003     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.356     0.007     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     50
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.497     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.003     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.497     0.003     54
Weighted Avg.    0.411    0.063    0.356      0.411    0.361      0.334    0.722     0.332     
