
 Results 
=====

Correctly Classified Instances          85               33.0739 %
Incorrectly Classified Instances       172               66.9261 %
Kappa statistic                          0.2815
K&B Relative Info Score               7218.6557 %
K&B Information Score                  393.2973 bits      1.5303 bits/instance
Class complexity | order 0            1386.1959 bits      5.3938 bits/instance
Class complexity | scheme           135556.7798 bits    527.4583 bits/instance
Complexity improvement     (Sf)    -134170.5839 bits   -522.0645 bits/instance
Mean absolute error                      0.0237
Root mean squared error                  0.1274
Relative absolute error                 76.1839 %
Root relative squared error            102.3392 %
Coverage of cases (0.95 level)          47.0817 %
Mean rel. region size (0.95 level)      10.4807 %
Total Number of Instances              257     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.364    0.012    0.571      0.364    0.444      0.437    0.728     0.261     1
                 0.684    0.038    0.591      0.684    0.634      0.605    0.850     0.584     2
                 0.143    0.024    0.143      0.143    0.143      0.119    0.685     0.118     3
                 0.000    0.004    0.000      0.000    0.000      -0.008   0.605     0.037     4
                 0.267    0.029    0.364      0.267    0.308      0.275    0.714     0.346     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     6
                 0.500    0.004    0.500      0.500    0.500      0.496    0.747     0.254     7
                 0.000    0.043    0.000      0.000    0.000      -0.027   0.415     0.016     8
                 0.667    0.004    0.667      0.667    0.667      0.663    0.830     0.393     9
                 0.286    0.016    0.500      0.286    0.364      0.352    0.675     0.249     10
                 0.767    0.335    0.232      0.767    0.357      0.285    0.734     0.247     11
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.436     0.004     12
                 0.333    0.020    0.375      0.333    0.353      0.332    0.719     0.206     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.016     14
                 0.133    0.045    0.154      0.133    0.143      0.094    0.712     0.160     15
                 0.000    0.016    0.000      0.000    0.000      -0.014   0.492     0.012     16
                 0.500    0.004    0.750      0.500    0.600      0.605    0.883     0.409     17
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     18
                 0.222    0.016    0.333      0.222    0.267      0.251    0.573     0.103     19
                 0.500    0.004    0.500      0.500    0.500      0.496    0.983     0.309     20
                 0.692    0.016    0.692      0.692    0.692      0.676    0.857     0.696     21
                 0.667    0.008    0.667      0.667    0.667      0.659    0.824     0.674     22
                 0.200    0.012    0.250      0.200    0.222      0.210    0.789     0.216     23
                 0.167    0.000    1.000      0.167    0.286      0.404    0.655     0.216     24
                 0.200    0.024    0.143      0.200    0.167      0.150    0.517     0.116     25
                 0.000    0.004    0.000      0.000    0.000      -0.008   0.423     0.016     26
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.482     0.004     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.008     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.008     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.387     0.004     31
                 0.000    0.012    0.000      0.000    0.000      -0.010   0.488     0.008     32
                 0.400    0.004    0.667      0.400    0.500      0.509    0.731     0.253     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.400     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.490     0.004     35
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.494     0.004     36
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.498     0.004     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.008     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.008     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.484     0.004     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.453     0.008     41
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.498     0.004     42
                 0.667    0.008    0.500      0.667    0.571      0.572    0.823     0.337     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.713     0.024     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.004     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.012     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.469     0.015     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.008     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.557     0.012     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.326     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.330     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.004     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.004     62
Weighted Avg.    0.331    0.053    0.323      0.331    0.298      0.280    0.676     0.241     
