
 Results 
=====

Correctly Classified Instances         157               62.3016 %
Incorrectly Classified Instances        95               37.6984 %
Kappa statistic                          0.485 
K&B Relative Info Score              12250.9552 %
K&B Information Score                  580.8306 bits      2.3049 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme             2081.7876 bits      8.2611 bits/instance
Complexity improvement     (Sf)       -955.0818 bits     -3.79   bits/instance
Mean absolute error                      0.0127
Root mean squared error                  0.1003
Relative absolute error                 44.9075 %
Root relative squared error             85.6388 %
Coverage of cases (0.95 level)          72.619  %
Mean rel. region size (0.95 level)       2.9729 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.625    0.000    1.000      0.625    0.769      0.786    0.992     0.917     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     2
                 0.911    0.470    0.564      0.911    0.697      0.452    0.889     0.874     3
                 0.667    0.004    0.800      0.667    0.727      0.724    0.939     0.653     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.116     0.007     5
                 0.333    0.000    1.000      0.333    0.500      0.575    0.934     0.686     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.870     0.806     8
                 0.714    0.016    0.556      0.714    0.625      0.618    0.988     0.783     9
                 0.600    0.012    0.500      0.600    0.545      0.538    0.994     0.825     10
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.964     0.100     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.056     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.143     14
                 0.643    0.008    0.818      0.643    0.720      0.711    0.953     0.741     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     16
                 0.800    0.004    0.800      0.800    0.800      0.796    0.994     0.883     17
                 0.500    0.000    1.000      0.500    0.667      0.704    0.841     0.521     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.610     0.020     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.236     0.008     20
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.120     0.007     21
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.124     0.007     22
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.348     0.009     23
                 0.714    0.000    1.000      0.714    0.833      0.842    0.956     0.822     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.111     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.130     0.007     27
                 0.750    0.000    1.000      0.750    0.857      0.864    0.821     0.755     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     32
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.867     0.150     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.136     0.007     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.716     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.956     0.083     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     40
                 0.778    0.004    0.875      0.778    0.824      0.819    0.890     0.765     41
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.092     0.007     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.077     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.228     0.008     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.620     0.020     46
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.728     0.027     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.667     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.940     0.063     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.143     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     52
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.964     0.100     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.964     0.100     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.924     0.050     55
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.125     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.143     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.964     0.100     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     61
Weighted Avg.    0.623    0.190    0.546      0.623    0.560      0.463    0.860     0.679     
