
 Results 
=====

Correctly Classified Instances         195               62.5    %
Incorrectly Classified Instances       117               37.5    %
Kappa statistic                          0.5964
K&B Relative Info Score              18157.1621 %
K&B Information Score                  928.2853 bits      2.9753 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme             2198.597  bits      7.0468 bits/instance
Complexity improvement     (Sf)       -625.9092 bits     -2.0061 bits/instance
Mean absolute error                      0.0148
Root mean squared error                  0.1064
Relative absolute error                 40.2244 %
Root relative squared error             78.7308 %
Coverage of cases (0.95 level)          72.4359 %
Mean rel. region size (0.95 level)       3.6428 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.987     0.361     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.282     0.007     2
                 0.200    0.000    1.000      0.200    0.333      0.444    0.887     0.431     3
                 0.300    0.007    0.600      0.300    0.400      0.412    0.889     0.431     4
                 0.750    0.000    1.000      0.750    0.857      0.865    0.994     0.833     5
                 0.500    0.007    0.667      0.500    0.571      0.568    0.947     0.631     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.763     0.188     7
                 0.333    0.000    1.000      0.333    0.500      0.575    0.994     0.643     8
                 0.733    0.010    0.786      0.733    0.759      0.747    0.933     0.810     9
                 0.500    0.003    0.667      0.500    0.571      0.573    0.836     0.433     10
                 0.846    0.117    0.508      0.846    0.635      0.594    0.946     0.853     11
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.649     0.017     12
                 0.897    0.057    0.619      0.897    0.732      0.715    0.979     0.842     13
                 0.333    0.000    1.000      0.333    0.500      0.575    0.736     0.560     14
                 0.625    0.003    0.833      0.625    0.714      0.716    0.996     0.872     15
                 0.667    0.000    1.000      0.667    0.800      0.814    0.924     0.812     16
                 0.778    0.007    0.778      0.778    0.778      0.771    0.994     0.872     17
                 0.600    0.000    1.000      0.600    0.750      0.772    0.962     0.706     18
                 0.600    0.000    1.000      0.600    0.750      0.772    0.998     0.925     19
                 0.667    0.000    1.000      0.667    0.800      0.815    0.997     0.833     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.295     0.007     21
                 0.818    0.093    0.509      0.818    0.628      0.594    0.951     0.760     22
                 0.750    0.000    1.000      0.750    0.857      0.863    0.939     0.773     23
                 0.947    0.014    0.818      0.947    0.878      0.872    0.999     0.988     24
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.916     0.037     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 1.000    0.003    0.800      1.000    0.889      0.893    0.999     0.950     27
                 0.818    0.007    0.818      0.818    0.818      0.812    0.993     0.891     28
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.955     0.067     29
                 0.000    0.006    0.000      0.000    0.000      -0.005   0.990     0.250     30
                 0.818    0.013    0.692      0.818    0.750      0.743    0.961     0.783     31
                 0.000    0.010    0.000      0.000    0.000      -0.013   0.721     0.050     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.862     0.186     33
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.216     0.006     34
                 0.500    0.003    0.750      0.500    0.600      0.606    0.998     0.915     35
                 0.333    0.007    0.500      0.333    0.400      0.399    0.856     0.299     36
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.879     0.097     37
                 0.500    0.003    0.750      0.500    0.600      0.606    0.911     0.546     38
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.994     0.333     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.091     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.508     0.010     42
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.131     0.006     43
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.987     0.200     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.200     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.091     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.108     0.005     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.153     0.006     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.329     0.007     49
                 0.000    0.006    0.000      0.000    0.000      -0.006   0.676     0.015     50
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     51
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     52
Weighted Avg.    0.625    0.033    0.604      0.625    0.588      0.581    0.907     0.686     
