
 Results 
=====

Correctly Classified Instances         107               51.4423 %
Incorrectly Classified Instances       101               48.5577 %
Kappa statistic                          0.4658
K&B Relative Info Score              10427.437  %
K&B Information Score                  543.7063 bits      2.614  bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme             1317.9634 bits      6.3364 bits/instance
Complexity improvement     (Sf)       -256.4719 bits     -1.233  bits/instance
Mean absolute error                      0.0173
Root mean squared error                  0.1154
Relative absolute error                 51.0323 %
Root relative squared error             88.9478 %
Coverage of cases (0.95 level)          69.2308 %
Mean rel. region size (0.95 level)       3.829  %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     2
                 0.778    0.000    1.000      0.778    0.875      0.878    0.993     0.907     3
                 0.333    0.000    1.000      0.333    0.500      0.572    0.975     0.653     4
                 0.400    0.005    0.667      0.400    0.500      0.508    0.911     0.811     5
                 0.500    0.010    0.500      0.500    0.500      0.490    0.811     0.590     6
                 0.333    0.005    0.500      0.333    0.400      0.401    0.933     0.491     7
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.981     0.200     8
                 0.600    0.005    0.750      0.600    0.667      0.664    0.929     0.616     9
                 0.778    0.203    0.444      0.778    0.566      0.473    0.921     0.775     10
                 0.650    0.085    0.448      0.650    0.531      0.481    0.904     0.658     11
                 0.857    0.020    0.600      0.857    0.706      0.706    0.985     0.824     12
                 0.500    0.000    1.000      0.500    0.667      0.704    0.947     0.771     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.059     16
                 0.667    0.005    0.667      0.667    0.667      0.662    0.810     0.564     17
                 0.579    0.090    0.393      0.579    0.468      0.413    0.849     0.496     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     19
                 0.769    0.041    0.556      0.769    0.645      0.627    0.962     0.830     20
                 0.000    0.014    0.000      0.000    0.000      -0.008   0.913     0.053     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     22
                 0.500    0.000    1.000      0.500    0.667      0.702    0.861     0.618     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.774     0.202     24
                 0.000    0.010    0.000      0.000    0.000      -0.012   0.743     0.132     25
                 0.500    0.005    0.667      0.500    0.571      0.570    0.949     0.673     26
                 0.667    0.005    0.800      0.667    0.727      0.723    0.983     0.795     27
                 1.000    0.019    0.200      1.000    0.333      0.443    0.986     0.250     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.712     0.672     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.100     34
                 0.800    0.000    1.000      0.800    0.889      0.892    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.918     0.056     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     42
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.012     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.740     0.110     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.607     0.031     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.100     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.913     0.053     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.813     0.056     54
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.231     0.009     55
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     56
Weighted Avg.    0.514    0.056    0.472      0.514    0.467      0.444    0.906     0.621     
