
 Results 
=====

Correctly Classified Instances         142               56.3492 %
Incorrectly Classified Instances       110               43.6508 %
Kappa statistic                          0.3554
K&B Relative Info Score               9582.1918 %
K&B Information Score                  454.3017 bits      1.8028 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme            57201.3995 bits    226.9897 bits/instance
Complexity improvement     (Sf)     -56074.6936 bits   -222.5186 bits/instance
Mean absolute error                      0.0191
Root mean squared error                  0.0998
Relative absolute error                 67.6144 %
Root relative squared error             85.1889 %
Coverage of cases (0.95 level)          77.381  %
Mean rel. region size (0.95 level)      12.6334 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.625    0.008    0.714      0.625    0.667      0.658    0.990     0.855     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.004     2
                 0.980    0.662    0.497      0.980    0.660      0.382    0.892     0.867     3
                 0.167    0.004    0.500      0.167    0.250      0.279    0.850     0.460     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.008     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.733     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.400    0.000    1.000      0.400    0.571      0.629    0.883     0.804     8
                 0.429    0.000    1.000      0.429    0.600      0.649    0.973     0.702     9
                 0.400    0.000    1.000      0.400    0.571      0.629    0.987     0.843     10
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.466     0.004     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.004     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.004     14
                 0.643    0.004    0.900      0.643    0.750      0.749    0.926     0.676     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.004     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.999     0.967     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.703     0.425     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.333     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.382     0.008     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.408     0.008     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.456     0.008     22
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.940     0.084     23
                 0.714    0.004    0.833      0.714    0.769      0.766    0.893     0.623     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.004     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.410     0.008     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.935     0.761     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     29
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.004     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.776     0.079     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     35
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.416     0.008     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.722     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.004     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.004     40
                 0.556    0.012    0.625      0.556    0.588      0.575    0.875     0.678     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.402     0.008     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.004     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.859     0.032     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.243     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.371     0.012     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.750     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.432     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.004     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.361     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.436     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.394     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.436     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.462     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.442     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     61
Weighted Avg.    0.563    0.267    0.456      0.563    0.464      0.357    0.821     0.633     
