
 Results 
=====

Correctly Classified Instances         100               49.2611 %
Incorrectly Classified Instances       103               50.7389 %
Kappa statistic                          0.4701
K&B Relative Info Score               7964.4069 %
K&B Information Score                  452.9057 bits      2.2311 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme            47653.4962 bits    234.7463 bits/instance
Complexity improvement     (Sf)     -46488.7061 bits   -229.0084 bits/instance
Mean absolute error                      0.0236
Root mean squared error                  0.1051
Relative absolute error                 79.9238 %
Root relative squared error             86.5713 %
Coverage of cases (0.95 level)          74.3842 %
Mean rel. region size (0.95 level)      25.4217 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.882    0.075    0.517      0.882    0.652      0.639    0.960     0.902     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.628     0.018     2
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.841     0.037     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.333    0.000    1.000      0.333    0.500      0.574    0.787     0.672     5
                 1.000    0.000    1.000      1.000    1.000      1.000    0.997     0.867     6
                 0.625    0.015    0.625      0.625    0.625      0.610    0.992     0.823     7
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     8
                 0.875    0.015    0.700      0.875    0.778      0.773    0.994     0.904     9
                 0.667    0.000    1.000      0.667    0.800      0.814    1.000     1.000     10
                 0.600    0.000    1.000      0.600    0.750      0.771    0.860     0.765     11
                 1.000    0.073    0.462      1.000    0.632      0.654    0.996     0.929     12
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     13
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.853     0.043     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.005     15
                 0.889    0.021    0.667      0.889    0.762      0.758    0.948     0.817     16
                 0.000    0.030    0.000      0.000    0.000      -0.028   0.731     0.049     17
