
 Results 
=====

Correctly Classified Instances         190               58.4615 %
Incorrectly Classified Instances       135               41.5385 %
Kappa statistic                          0.5443
K&B Relative Info Score              14470.6744 %
K&B Information Score                  742.7196 bits      2.2853 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme            43545.7638 bits    133.987  bits/instance
Complexity improvement     (Sf)     -41925.8977 bits   -129.0028 bits/instance
Mean absolute error                      0.0235
Root mean squared error                  0.1026
Relative absolute error                 73.2328 %
Root relative squared error             81.1487 %
Coverage of cases (0.95 level)          86.4615 %
Mean rel. region size (0.95 level)      21.2725 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.872    0.070    0.630      0.872    0.731      0.700    0.946     0.793     1
                 0.500    0.003    0.667      0.500    0.571      0.573    0.954     0.514     2
                 0.909    0.013    0.714      0.909    0.800      0.798    0.986     0.885     3
                 0.500    0.033    0.500      0.500    0.500      0.467    0.871     0.604     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.632     5
                 0.538    0.003    0.875      0.538    0.667      0.677    0.926     0.786     6
                 0.333    0.000    1.000      0.333    0.500      0.576    0.995     0.667     7
                 0.231    0.000    1.000      0.231    0.375      0.473    0.753     0.285     8
                 0.708    0.063    0.472      0.708    0.567      0.538    0.938     0.744     9
                 0.800    0.000    1.000      0.800    0.889      0.893    0.886     0.803     10
                 0.900    0.016    0.643      0.900    0.750      0.752    0.997     0.897     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.790     0.236     12
                 0.939    0.192    0.465      0.939    0.622      0.581    0.958     0.868     13
                 0.667    0.000    1.000      0.667    0.800      0.815    0.993     0.767     14
                 0.647    0.026    0.579      0.647    0.611      0.589    0.893     0.673     15
                 0.286    0.009    0.400      0.286    0.333      0.326    0.862     0.435     16
                 0.750    0.003    0.750      0.750    0.750      0.747    0.999     0.950     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.395     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.435     0.003     19
                 0.200    0.000    1.000      0.200    0.333      0.444    0.856     0.330     20
                 0.333    0.000    1.000      0.333    0.500      0.574    0.982     0.661     21
                 0.700    0.006    0.778      0.700    0.737      0.730    0.991     0.735     22
                 0.400    0.006    0.500      0.400    0.444      0.440    0.909     0.393     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.003     24
                 0.250    0.000    1.000      0.250    0.400      0.498    0.799     0.470     25
                 0.250    0.003    0.500      0.250    0.333      0.348    0.803     0.141     26
                 0.000    0.003    0.000      0.000    0.000      -0.004   0.985     0.258     27
                 0.700    0.006    0.778      0.700    0.737      0.730    0.956     0.674     28
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.409     0.003     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.006     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.377     0.003     31
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.659     0.013     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.409     0.003     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.676     0.016     35
                 0.750    0.000    1.000      0.750    0.857      0.865    0.822     0.753     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.003     37
                 0.333    0.000    1.000      0.333    0.500      0.574    0.871     0.506     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.454     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.446     0.003     40
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.477     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.458     0.003     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.333     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.461     0.003     45
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.480     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.003     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.429     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.003     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.404     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.460     0.003     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.451     0.003     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.202     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.452     0.003     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.418     0.003     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.003     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.003     59
Weighted Avg.    0.585    0.047    0.571      0.585    0.533      0.528    0.882     0.632     
