
 Results 
=====

Correctly Classified Instances         133               51.751  %
Incorrectly Classified Instances       124               48.249  %
Kappa statistic                          0.4889
K&B Relative Info Score              10821.7558 %
K&B Information Score                  589.6067 bits      2.2942 bits/instance
Class complexity | order 0            1386.1959 bits      5.3938 bits/instance
Class complexity | scheme            48806.5526 bits    189.9088 bits/instance
Complexity improvement     (Sf)     -47420.3567 bits   -184.515  bits/instance
Mean absolute error                      0.0233
Root mean squared error                  0.1033
Relative absolute error                 75.0081 %
Root relative squared error             82.9494 %
Coverage of cases (0.95 level)          80.5447 %
Mean rel. region size (0.95 level)      22.9384 %
Total Number of Instances              257     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.727    0.016    0.667      0.727    0.696      0.682    0.922     0.675     1
                 0.842    0.059    0.533      0.842    0.653      0.638    0.973     0.855     2
                 0.286    0.000    1.000      0.286    0.444      0.529    0.930     0.592     3
                 0.000    0.008    0.000      0.000    0.000      -0.011   0.815     0.608     4
                 0.467    0.008    0.778      0.467    0.583      0.585    0.842     0.570     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.467     0.004     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.698     0.049     7
                 0.000    0.008    0.000      0.000    0.000      -0.011   0.734     0.168     8
                 0.667    0.004    0.667      0.667    0.667      0.663    0.990     0.744     9
                 0.714    0.070    0.370      0.714    0.488      0.477    0.887     0.700     10
                 0.900    0.110    0.519      0.900    0.659      0.631    0.975     0.878     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.455     0.004     12
                 0.444    0.016    0.500      0.444    0.471      0.453    0.883     0.568     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.717     0.042     14
                 0.733    0.008    0.846      0.733    0.786      0.776    0.988     0.900     15
                 1.000    0.004    0.750      1.000    0.857      0.864    0.992     0.667     16
                 0.500    0.116    0.094      0.500    0.158      0.176    0.918     0.417     17
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     18
                 0.333    0.004    0.750      0.333    0.462      0.489    0.819     0.319     19
                 1.000    0.008    0.500      1.000    0.667      0.704    0.992     0.417     20
                 0.846    0.025    0.647      0.846    0.733      0.724    0.994     0.938     21
                 0.833    0.000    1.000      0.833    0.909      0.911    0.956     0.845     22
                 0.600    0.000    1.000      0.600    0.750      0.772    0.999     0.927     23
                 0.667    0.012    0.571      0.667    0.615      0.607    0.758     0.641     24
                 0.600    0.004    0.750      0.600    0.667      0.665    0.957     0.678     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.767     0.076     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.441     0.004     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.473     0.004     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.118     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.946     0.079     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.416     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.950     0.103     32
                 0.400    0.000    1.000      0.400    0.571      0.629    0.948     0.542     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.004     34
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.445     0.004     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.004     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.469     0.004     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.591     38
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.584     0.010     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.004     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.363     0.008     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.445     0.004     42
                 0.667    0.000    1.000      0.667    0.800      0.815    0.997     0.867     43
                 0.333    0.012    0.250      0.333    0.286      0.279    0.846     0.152     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.477     0.004     46
                 0.333    0.004    0.500      0.333    0.400      0.403    0.981     0.442     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.342     0.016     48
                 0.500    0.004    0.500      0.500    0.500      0.496    0.995     0.500     49
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.438     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.316     0.008     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.471     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.457     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.469     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.430     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.439     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.441     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.438     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.209     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.430     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.473     0.004     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.004     62
Weighted Avg.    0.518    0.028    0.492      0.518    0.473      0.471    0.854     0.570     
