
 Results 
=====

Correctly Classified Instances         187               69.7761 %
Incorrectly Classified Instances        81               30.2239 %
Kappa statistic                          0.6628
K&B Relative Info Score              15480.652  %
K&B Information Score                  693.0709 bits      2.5861 bits/instance
Class complexity | order 0            1172.2356 bits      4.374  bits/instance
Class complexity | scheme              723.7092 bits      2.7004 bits/instance
Complexity improvement     (Sf)        448.5264 bits      1.6736 bits/instance
Mean absolute error                      0.0283
Root mean squared error                  0.1142
Relative absolute error                 54.9278 %
Root relative squared error             71.3512 %
Coverage of cases (0.95 level)          91.0448 %
Mean rel. region size (0.95 level)      22.3362 %
Total Number of Instances              268     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.909    0.183    0.562      0.909    0.694      0.623    0.937     0.793     1
                 0.462    0.012    0.667      0.462    0.545      0.536    0.958     0.634     2
                 0.846    0.016    0.733      0.846    0.786      0.776    0.992     0.898     3
                 0.286    0.004    0.667      0.286    0.400      0.427    0.878     0.446     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.619    0.024    0.684      0.619    0.650      0.623    0.912     0.644     6
                 0.957    0.008    0.917      0.957    0.936      0.930    0.998     0.981     7
                 0.882    0.016    0.789      0.882    0.833      0.823    0.993     0.931     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.888     0.061     9
                 0.467    0.028    0.500      0.467    0.483      0.454    0.901     0.601     10
                 0.615    0.020    0.615      0.615    0.615      0.596    0.889     0.650     11
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.188     0.007     12
                 0.833    0.004    0.833      0.833    0.833      0.830    0.923     0.841     13
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.815     0.251     14
                 0.571    0.000    1.000      0.571    0.727      0.752    0.881     0.683     15
                 0.667    0.000    1.000      0.667    0.800      0.815    0.721     0.671     16
                 0.800    0.004    0.941      0.800    0.865      0.858    0.954     0.893     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.865     0.027     18
                 0.857    0.004    0.857      0.857    0.857      0.853    0.968     0.873     19
                 0.400    0.004    0.667      0.400    0.500      0.510    0.949     0.499     20
                 0.600    0.000    1.000      0.600    0.750      0.772    0.908     0.651     21
                 1.000    0.004    0.667      1.000    0.800      0.815    1.000     1.000     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.850     0.024     23
                 0.333    0.000    1.000      0.333    0.500      0.575    0.982     0.507     24
                 0.500    0.000    1.000      0.500    0.667      0.706    0.998     0.833     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.910     0.040     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.873     0.029     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 0.333    0.000    1.000      0.333    0.500      0.575    0.961     0.531     29
                 1.000    0.008    0.714      1.000    0.833      0.842    0.995     0.686     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.858     0.026     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.914     0.042     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.876     0.029     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.091     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.835     0.022     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.936     0.056     36
Weighted Avg.    0.698    0.046    0.687      0.698    0.672      0.654    0.934     0.724     
