
 Results 
=====

Correctly Classified Instances         159               63.0952 %
Incorrectly Classified Instances        93               36.9048 %
Kappa statistic                          0.4874
K&B Relative Info Score              11033.2399 %
K&B Information Score                  523.0974 bits      2.0758 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme             1709.713  bits      6.7846 bits/instance
Complexity improvement     (Sf)       -583.0071 bits     -2.3135 bits/instance
Mean absolute error                      0.0168
Root mean squared error                  0.0969
Relative absolute error                 59.4545 %
Root relative squared error             82.7105 %
Coverage of cases (0.95 level)          82.5397 %
Mean rel. region size (0.95 level)      16.6667 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.625    0.004    0.833      0.625    0.714      0.714    0.989     0.866     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.143     2
                 0.960    0.490    0.567      0.960    0.713      0.494    0.890     0.870     3
                 0.667    0.008    0.667      0.667    0.667      0.659    0.843     0.460     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.098     0.007     5
                 0.333    0.000    1.000      0.333    0.500      0.575    0.984     0.627     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.863     0.806     8
                 0.571    0.020    0.444      0.571    0.500      0.488    0.974     0.472     9
                 0.600    0.004    0.750      0.600    0.667      0.665    0.985     0.729     10
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.900     0.038     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.876     0.031     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.880     0.032     14
                 0.643    0.004    0.900      0.643    0.750      0.749    0.911     0.677     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.363     0.006     16
                 0.600    0.000    1.000      0.600    0.750      0.771    0.995     0.891     17
                 0.500    0.000    1.000      0.500    0.667      0.704    0.686     0.511     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.292     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.204     0.007     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.304     0.009     21
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.098     0.007     22
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.926     0.075     23
                 0.714    0.000    1.000      0.714    0.833      0.842    0.891     0.786     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.873     0.030     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.130     0.007     27
                 0.750    0.000    1.000      0.750    0.857      0.864    0.912     0.761     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.857     0.027     32
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.822     0.131     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.888     0.034     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.110     0.007     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.684     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.765     0.017     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     40
                 0.556    0.004    0.833      0.556    0.667      0.671    0.869     0.761     41
                 0.000    0.008    0.000      0.000    0.000      -0.008   0.072     0.006     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.737     0.015     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.808     0.034     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.982     0.243     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.391     0.013     47
                 0.500    0.004    0.500      0.500    0.500      0.496    0.994     0.500     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.829     0.023     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.303     0.006     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.896     0.037     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.343     0.006     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.398     0.007     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.769     0.017     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.789     0.019     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.849     0.026     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.849     0.026     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.167     61
Weighted Avg.    0.631    0.198    0.551      0.631    0.562      0.475    0.846     0.644     
