
 Results 
=====

Correctly Classified Instances         103               50.7389 %
Incorrectly Classified Instances       100               49.2611 %
Kappa statistic                          0.485 
K&B Relative Info Score              10120.066  %
K&B Information Score                  575.4899 bits      2.8349 bits/instance
Class complexity | order 0            1164.7901 bits      5.7379 bits/instance
Class complexity | scheme             1142.3685 bits      5.6274 bits/instance
Complexity improvement     (Sf)         22.4216 bits      0.1105 bits/instance
Mean absolute error                      0.0205
Root mean squared error                  0.1001
Relative absolute error                 69.4799 %
Root relative squared error             82.4562 %
Coverage of cases (0.95 level)          82.266  %
Mean rel. region size (0.95 level)      22.6526 %
Total Number of Instances              203     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.941    0.097    0.471      0.941    0.627      0.626    0.969     0.904     1
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.435     0.017     2
                 0.000    0.020    0.000      0.000    0.000      -0.014   0.836     0.042     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.667    0.005    0.667      0.667    0.667      0.662    0.712     0.561     5
                 0.667    0.000    1.000      0.667    0.800      0.814    0.997     0.867     6
                 0.500    0.015    0.571      0.500    0.533      0.517    0.987     0.635     7
                 0.667    0.000    1.000      0.667    0.800      0.814    1.000     1.000     8
                 0.875    0.005    0.875      0.875    0.875      0.870    0.997     0.952     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.600    0.010    0.600      0.600    0.600      0.590    0.862     0.665     11
                 0.917    0.037    0.611      0.917    0.733      0.730    0.985     0.796     12
                 0.500    0.005    0.500      0.500    0.500      0.495    0.995     0.583     13
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.913     0.278     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.077     15
                 0.889    0.036    0.533      0.889    0.667      0.671    0.930     0.850     16
                 0.000    0.020    0.000      0.000    0.000      -0.023   0.655     0.041     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.767     0.021     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.913     0.096     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 0.833    0.010    0.714      0.833    0.769      0.764    0.970     0.830     21
                 0.429    0.000    1.000      0.429    0.600      0.648    0.684     0.541     22
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     23
                 0.500    0.085    0.304      0.500    0.378      0.332    0.858     0.591     24
                 0.875    0.000    1.000      0.875    0.933      0.933    0.918     0.882     25
                 1.000    0.010    0.500      1.000    0.667      0.704    0.995     0.583     26
                 0.333    0.005    0.667      0.333    0.444      0.461    0.743     0.231     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.757     0.020     28
                 0.429    0.020    0.429      0.429    0.429      0.408    0.766     0.343     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.936     0.071     30
                 0.000    0.005    0.000      0.000    0.000      -0.009   0.605     0.039     31
                 0.500    0.010    0.500      0.500    0.500      0.490    0.849     0.602     32
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.985     0.250     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     34
                 0.429    0.026    0.375      0.429    0.400      0.378    0.843     0.326     35
                 1.000    0.020    0.200      1.000    0.333      0.443    0.985     0.250     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.700     37
                 0.250    0.025    0.167      0.250    0.200      0.185    0.809     0.153     38
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.980     0.200     39
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     40
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.167     0.009     41
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.995     0.500     42
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.940     0.111     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.827     0.028     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.965     0.125     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.743     0.019     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.911     0.053     48
                 0.500    0.005    0.667      0.500    0.571      0.570    0.892     0.538     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.200     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.901     0.048     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.748     0.019     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.200     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.545     0.011     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.916     0.056     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.787     0.023     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.847     0.031     58
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.812     0.026     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.111     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.111     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.916     0.056     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.837     0.029     64
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.167     66
Weighted Avg.    0.507    0.023    0.455      0.507    0.460      0.455    0.883     0.559     
