
 Results 
=====

Correctly Classified Instances         176               57.8947 %
Incorrectly Classified Instances       128               42.1053 %
Kappa statistic                          0.5413
K&B Relative Info Score              14809.3211 %
K&B Information Score                  741.8417 bits      2.4403 bits/instance
Class complexity | order 0            1487.923  bits      4.8945 bits/instance
Class complexity | scheme             1591.7323 bits      5.236  bits/instance
Complexity improvement     (Sf)       -103.8093 bits     -0.3415 bits/instance
Mean absolute error                      0.0219
Root mean squared error                  0.1044
Relative absolute error                 62.2517 %
Root relative squared error             79.0202 %
Coverage of cases (0.95 level)          85.8553 %
Mean rel. region size (0.95 level)      19.7734 %
Total Number of Instances              304     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.909    0.181    0.460      0.909    0.611      0.567    0.924     0.743     1
                 0.639    0.056    0.605      0.639    0.622      0.570    0.918     0.719     2
                 0.600    0.007    0.600      0.600    0.600      0.593    0.875     0.650     3
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.730     0.025     4
                 0.882    0.017    0.750      0.882    0.811      0.802    0.990     0.932     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.375    0.007    0.600      0.375    0.462      0.463    0.927     0.549     7
                 0.636    0.007    0.778      0.636    0.700      0.694    0.929     0.788     8
                 0.000    0.000    0.000      0.000    0.000      0.000    0.835     0.020     9
                 0.538    0.021    0.538      0.538    0.538      0.518    0.980     0.637     10
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     11
                 0.600    0.003    0.750      0.600    0.667      0.666    0.896     0.716     12
                 0.842    0.018    0.762      0.842    0.800      0.787    0.982     0.902     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.848     0.021     14
                 0.000    0.000    0.000      0.000    0.000      0.000    0.945     0.250     15
                 0.813    0.028    0.619      0.813    0.703      0.691    0.971     0.809     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.782     0.015     17
                 0.895    0.032    0.654      0.895    0.756      0.747    0.959     0.862     18
                 0.429    0.024    0.300      0.429    0.353      0.341    0.785     0.486     19
                 0.462    0.017    0.545      0.462    0.500      0.481    0.951     0.545     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.884     0.028     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.637     0.009     22
                 0.385    0.027    0.385      0.385    0.385      0.357    0.720     0.270     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.250     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.746     0.025     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.634     0.024     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.706     0.011     28
                 0.667    0.007    0.500      0.667    0.571      0.573    0.986     0.729     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.417     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.144     0.006     31
                 0.667    0.000    1.000      0.667    0.800      0.815    0.986     0.729     32
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     33
                 0.333    0.000    1.000      0.333    0.500      0.575    0.739     0.504     34
                 0.333    0.000    1.000      0.333    0.500      0.575    0.827     0.673     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.950     0.090     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.788     0.239     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.851     0.022     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.202     0.006     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.021     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.891     0.029     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.200     43
                 0.000    0.007    0.000      0.000    0.000      -0.008   0.380     0.010     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.914     0.037     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.594     0.008     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.901     0.032     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.104     0.005     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.914     0.037     49
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.855     0.022     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.901     0.032     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.250     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.851     0.022     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.891     0.029     54
Weighted Avg.    0.579    0.042    0.501      0.579    0.522      0.505    0.894     0.616     
