
 Results 
=====

Correctly Classified Instances         194               62.1795 %
Incorrectly Classified Instances       118               37.8205 %
Kappa statistic                          0.5918
K&B Relative Info Score              16611.7208 %
K&B Information Score                  849.2746 bits      2.722  bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme             1496.0417 bits      4.795  bits/instance
Complexity improvement     (Sf)         76.6461 bits      0.2457 bits/instance
Mean absolute error                      0.0219
Root mean squared error                  0.1021
Relative absolute error                 59.6583 %
Root relative squared error             75.5389 %
Coverage of cases (0.95 level)          87.1795 %
Mean rel. region size (0.95 level)      22.3866 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.003    0.500      0.500    0.500      0.497    0.992     0.417     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.889     0.042     2
                 0.200    0.000    1.000      0.200    0.333      0.444    0.841     0.253     3
                 0.300    0.003    0.750      0.300    0.429      0.465    0.797     0.470     4
                 0.750    0.003    0.750      0.750    0.750      0.747    0.995     0.799     5
                 0.375    0.003    0.750      0.375    0.500      0.522    0.898     0.515     6
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.734     0.063     7
                 0.333    0.000    1.000      0.333    0.500      0.575    0.990     0.569     8
                 0.733    0.007    0.846      0.733    0.786      0.778    0.926     0.814     9
                 0.500    0.006    0.500      0.500    0.500      0.494    0.843     0.555     10
                 0.872    0.176    0.415      0.872    0.562      0.523    0.923     0.826     11
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.526     0.013     12
                 0.897    0.046    0.667      0.897    0.765      0.747    0.975     0.897     13
                 0.333    0.000    1.000      0.333    0.500      0.575    0.973     0.538     14
                 0.875    0.003    0.875      0.875    0.875      0.872    0.999     0.966     15
                 0.667    0.003    0.800      0.667    0.727      0.726    0.899     0.765     16
                 0.667    0.007    0.750      0.667    0.706      0.699    0.983     0.784     17
                 0.600    0.007    0.600      0.600    0.600      0.593    0.984     0.662     18
                 0.200    0.003    0.500      0.200    0.286      0.310    0.951     0.746     19
                 0.667    0.000    1.000      0.667    0.800      0.815    0.999     0.917     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.250     21
                 0.848    0.054    0.651      0.848    0.737      0.709    0.964     0.831     22
                 0.750    0.000    1.000      0.750    0.857      0.863    0.896     0.765     23
                 1.000    0.010    0.864      1.000    0.927      0.925    1.000     0.995     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.785     0.015     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 1.000    0.003    0.800      1.000    0.889      0.893    1.000     1.000     27
                 0.727    0.013    0.667      0.727    0.696      0.685    0.965     0.803     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.846     0.020     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.974     0.111     30
                 0.727    0.017    0.615      0.727    0.667      0.656    0.985     0.738     31
                 0.000    0.007    0.000      0.000    0.000      -0.010   0.556     0.029     32
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.810     0.173     33
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.182     0.006     34
                 0.667    0.003    0.800      0.667    0.727      0.726    0.995     0.668     35
                 0.000    0.010    0.000      0.000    0.000      -0.014   0.738     0.148     36
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.800     0.067     37
                 0.500    0.007    0.600      0.500    0.545      0.540    0.800     0.520     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.167     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.646     0.009     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.163     42
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.427     0.010     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.913     0.036     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.887     0.028     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.045     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.103     0.005     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.150     0.006     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.892     0.042     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     50
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     52
Weighted Avg.    0.622    0.035    0.584      0.622    0.575      0.568    0.906     0.673     
