
 Results 
=====

Correctly Classified Instances         106               50.9615 %
Incorrectly Classified Instances       102               49.0385 %
Kappa statistic                          0.4534
K&B Relative Info Score               9594.6183 %
K&B Information Score                  500.2815 bits      2.4052 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme              876.4593 bits      4.2137 bits/instance
Complexity improvement     (Sf)        185.0323 bits      0.8896 bits/instance
Mean absolute error                      0.0228
Root mean squared error                  0.1088
Relative absolute error                 67.3499 %
Root relative squared error             83.82   %
Coverage of cases (0.95 level)          85.5769 %
Mean rel. region size (0.95 level)      19.7802 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.894     0.043     2
                 0.667    0.000    1.000      0.667    0.800      0.810    0.993     0.905     3
                 0.333    0.005    0.667      0.333    0.444      0.461    0.979     0.630     4
                 0.600    0.005    0.750      0.600    0.667      0.664    0.938     0.659     5
                 0.500    0.010    0.500      0.500    0.500      0.490    0.795     0.656     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.979     0.517     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.507     0.010     8
                 0.400    0.005    0.667      0.400    0.500      0.508    0.845     0.473     9
                 0.861    0.291    0.383      0.861    0.530      0.443    0.896     0.759     10
                 0.600    0.080    0.444      0.600    0.511      0.456    0.895     0.650     11
                 0.857    0.020    0.600      0.857    0.706      0.706    0.984     0.793     12
                 0.500    0.000    1.000      0.500    0.667      0.704    0.958     0.776     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.686     0.015     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.783     0.022     16
                 0.333    0.005    0.500      0.333    0.400      0.401    0.754     0.395     17
                 0.579    0.074    0.440      0.579    0.500      0.447    0.859     0.482     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.705     0.016     19
                 0.769    0.031    0.625      0.769    0.690      0.671    0.955     0.771     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.754     0.019     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.580     0.011     22
                 0.500    0.000    1.000      0.500    0.667      0.702    0.816     0.552     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.712     0.077     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.689     0.105     25
                 0.500    0.005    0.667      0.500    0.571      0.570    0.968     0.662     26
                 0.667    0.005    0.800      0.667    0.727      0.723    0.970     0.830     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.167     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.831     0.028     30
                 0.000    0.005    0.000      0.000    0.000      -0.008   0.816     0.438     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.845     0.030     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.744     0.019     34
                 0.800    0.000    1.000      0.800    0.889      0.892    0.998     0.943     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     36
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.821     0.026     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.923     0.059     39
                 0.500    0.005    0.500      0.500    0.500      0.495    0.995     0.583     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.850     0.031     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.964     0.177     44
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.976     0.225     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     46
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.884     0.040     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.238     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.928     0.063     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.850     0.031     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.908     0.050     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.715     0.017     53
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     54
                 0.000    0.010    0.000      0.000    0.000      -0.010   0.413     0.013     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     56
Weighted Avg.    0.510    0.068    0.454      0.510    0.454      0.430    0.897     0.580     
