@relation 'Dataset kitsi title_co-authors jwang'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59}
@data
'studi aesthet photograph imag us comput approach r datta d joshi j li',1
'simplic semant sensit integr match pictur librari j li g wiederhold',1
'studi digit imageri ancient paint mixtur stochast model j li',1
'system screen objection imag j li g wiederhold o firschein',1
'unsupervis multiresolut segment imag low depth field j li r gray g wiederhold',1
'divers multimedia inform retriev research n boujemaa a bimbo d geman a hauptmann j tesic',1
'classif textur non textur imag us region segment j li g wiederhold',1
'multiresolut object interest detect imag low depth field j li r gray g wiederhold',1
'region base retriev biomed imag nan',1
'region base fuzzi featur match approach content base imag retriev y chen',1
'architectur creat collabor semant capabl scientif data share infrastructur a jaiswal c giles p mitra',1
'spars support vector machin approach region base imag categor j bi y chen',1
'toward bridg annot retriev gap imag search gener model approach r datta w ge j li',1
'automat linguist index pictur statist model approach j li',1
'evalu strategi automat linguist index pictur j li s lin',1
'irm integr region match imag retriev j li g wiederhold',1
'rf ipf weight scheme multimedia inform retriev y du',1
'stori pictur engin system automat text illustr d joshi j li',1
'imagin robust imag base captcha gener system r datta j li',1
'content base imag retriev cluster y chen r krovetz',1
'mile multipl instanc learn via embed instanc select y chen j bi',1
'machin annot retriev digit imageri histor materi k grieb y zhang c chen y chen j li',1
'sst algorithm find near exact sequenc match time proport logarithm databas size e giladi m walker w volkmuth',1
'automat categor figur scientif document x lu p mitra c giles',1
'clue cluster base retriev imag unsupervis learn y chen r krovetz',1
'wavelet base imag index techniqu partial sketch retriev capabl g wiederhold o firschein s wei',1
'deriv knowledg figur digit librari x lu p mitra c giles',1
'real time computer annot pictur j li',1
'digit imageri signific cultur histor materi c chen h wactlar k kiernan',1
'simplic semant sensit integr match pictur librari j li g wiederhold',1
'classifi objection websit base imag content j li g wiederhold o firschein',1
'paragrab comprehens architectur web imag manag multimod queri d joshi r datta z zhuang w weiss m friedenberg j li',1
'scalabl integr region base imag retriev us irm statist cluster y du',1
'imag categor learn reason region y chen',1
'learn base linguist index pictur d mhmm j li',1
'computation effici approach estim two three dimension hidden markov model d joshi j li',1
'scalabl integr region base imag retriev system y du',1
'content base imag index search us daubechi wavelet g wiederhold o firschein s wei',1
'stochast model imag d hidden markov model j li d joshi',1
'iter optim approach unifi imag segment mat m cohen',2
'imag video segment anisotrop kernel mean shift b thiesson y xu m cohen',2
'interact video cutout p bhat a colburn m agrawala m cohen',2
'video toon y xu h shum m cohen',2
'resourc constrain workflow model w tepfenhart d rosca a tsai',3
'constraint propag progress verif compon base process model y deng x he j tsai',3
'composit time petri net reduct rule y deng m zhou',3
'increment architectur model verif real time concurr system y deng r sinha',3
'dynam workflow model verif d rosca',3
'perform analysi traffic network base stochast time petri net model c jin y deng',3
'approach model analysi secur system architectur y deng j tsai k beznosov',3
'intuit formal approach dynam workflow model analysi d rosca w tepfenhart a milewski m stoute',3
'integr architectur model analysi high assur command control system design y deng',3
'integr architectur model analysi high assur command control system design y deng',3
'introduc softwar architectur specif analysi sam exampl x he y deng',3
'perform model analysi web switch j lu',4
'new variat chord novel improv lookup local z yu',4
'p creativ set p complet creativ set nan',4
'minim roundoff error prefix sum via dynam construct huffman tree m kao',4
'pack unequ sphere autom radiosurg treatment plan nan',4
'linear time approxim algorithm comput numer summat provabl small error m kao',4
'linear time approxim algorithm comput numer summat provabl small error m kao',4
'averag p vs averag np j belanger',4
'polynomi time product approxim level nan',4
'toward practic secur larg scale onlin elect j karro',4
'averag case complet word problem group nan',4
'averag p vs averag np j belanger',4
'complet averag boolean satisfi nan',4
'perform mac protocol wdm network line schedul k sivalingam',4
'np isomorph problem respect random instanc j belanger',4
'immun complet problem s homer',4
'effici minim numer summat error m kao',4
'optim problem virtual endoscopi y ge',4
'absolut result concern wai function applic s homer',4
'effici point coverag wireless sensor network n zhong',4
'medium access control mobil ad hoc network challeng solut h zhai x chen y fang',5
'omar util multius divers wireless ad hoc network h zhai y fang j shea d wu',5
'power save multi radio multi channel mac protocol wireless local area network y fang d wu',5
'translat unknown queri web corpora cross languag inform retriev p cheng j teng r chen w lu l chien',6
'enhanc dhcp base infrastructur intranet manag t lee',6
'translat unknown cross lingual queri digit librari us web base approach j teng p cheng w lu l chien',6
'peer peer approach collabor repositori digit librari h chang c lin l chien',6
'enhanc intranet manag dhcp enabl environ t lee',6
'construct wrapper base drm system digit content protect digit librari j hsiao m chen c chen l chien',6
'gener concept hierarchi text intellig analysi c huang j teng l chien',6
'effect content track digit right manag digit librari j hsiao c li c chiu c chen l chien',6
'toward web mine queri translat cross languag inform retriev digit librari w lu l chien',6
'peer peer support file transfer cach mechan t lee',6
'toward web mine cross languag queri translat digit librari w lu l chien',6
'resolv unencod charact problem chines digit librari d juang c lai c hsieh l chien j ho',6
'exploit web multilingu corpu unknown queri translat j teng w lu l chien',6
'shape base curv grow model adapt regular pulmonari fissur segment ct m betke j ko',7
'detect instanc shape class exhibit variabl structur v athitsos s sclaroff m betke',7
'mosaicshap stochast region group shape prior e gu m betke',7
'content base audio classif us support vector machin independ compon analysi j wang c lin k jian w kuok',8
