
 Results 
=====

Correctly Classified Instances         145               57.5397 %
Incorrectly Classified Instances       107               42.4603 %
Kappa statistic                          0.4336
K&B Relative Info Score               9475.927  %
K&B Information Score                  449.2636 bits      1.7828 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme            87169.5979 bits    345.9111 bits/instance
Complexity improvement     (Sf)     -86042.8921 bits   -341.44   bits/instance
Mean absolute error                      0.0163
Root mean squared error                  0.1089
Relative absolute error                 57.542  %
Root relative squared error             92.9879 %
Coverage of cases (0.95 level)          63.4921 %
Mean rel. region size (0.95 level)      13.5051 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.750    0.012    0.667      0.750    0.706      0.697    0.860     0.482     1
                 0.000    0.008    0.000      0.000    0.000      -0.006   0.496     0.004     2
                 0.881    0.417    0.586      0.881    0.704      0.465    0.721     0.544     3
                 0.167    0.016    0.200      0.167    0.182      0.164    0.773     0.132     4
                 0.000    0.012    0.000      0.000    0.000      -0.010   0.496     0.010     5
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     6
                 0.667    0.004    0.667      0.667    0.667      0.663    0.831     0.448     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.900     0.804     8
                 0.143    0.012    0.250      0.143    0.182      0.172    0.791     0.151     9
                 0.200    0.004    0.500      0.200    0.286      0.308    0.696     0.245     10
                 0.000    0.008    0.000      0.000    0.000      -0.006   0.496     0.004     11
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.496     0.004     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     13
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.466     0.004     14
                 0.571    0.008    0.800      0.571    0.667      0.661    0.800     0.546     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.231     0.004     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.500    0.004    0.667      0.500    0.571      0.572    0.724     0.428     18
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.719     0.035     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.720     0.035     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.008     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.008     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.470     0.008     23
                 0.714    0.004    0.833      0.714    0.769      0.766    0.802     0.603     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.004     25
                 1.000    0.004    0.800      1.000    0.889      0.893    0.998     0.800     26
                 0.500    0.004    0.500      0.500    0.500      0.496    0.747     0.254     27
                 0.250    0.004    0.500      0.250    0.333      0.346    0.580     0.141     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.261     0.004     29
                 0.333    0.000    1.000      0.333    0.500      0.575    0.667     0.341     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.255     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     32
                 0.000    0.016    0.000      0.000    0.000      -0.014   0.490     0.012     33
                 0.000    0.008    0.000      0.000    0.000      -0.006   0.496     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.004     35
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.996     0.667     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.008     37
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.707     0.043     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.386     0.004     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     40
                 0.667    0.000    1.000      0.667    0.800      0.812    0.787     0.679     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.466     0.008     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.004     43
                 1.000    0.004    0.667      1.000    0.800      0.815    0.996     0.667     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.223     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.464     0.008     46
                 1.000    0.016    0.429      1.000    0.600      0.649    0.984     0.429     47
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.937     0.061     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.289     0.004     49
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.287     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.375     0.004     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.323     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.279     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.444     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.221     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.472     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     61
Weighted Avg.    0.575    0.170    0.498      0.575    0.516      0.421    0.709     0.416     
