
 Results 
=====

Correctly Classified Instances         174               55.7692 %
Incorrectly Classified Instances       138               44.2308 %
Kappa statistic                          0.5258
K&B Relative Info Score              16044.3283 %
K&B Information Score                  820.2667 bits      2.6291 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme           112918.1235 bits    361.9171 bits/instance
Complexity improvement     (Sf)    -111345.4357 bits   -356.8764 bits/instance
Mean absolute error                      0.0185
Root mean squared error                  0.1168
Relative absolute error                 50.2972 %
Root relative squared error             86.3915 %
Coverage of cases (0.95 level)          64.7436 %
Mean rel. region size (0.95 level)       5.7631 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.500    0.000    1.000      0.500    0.667      0.706    0.998     0.833     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.006     2
                 0.200    0.003    0.500      0.200    0.286      0.310    0.650     0.123     3
                 0.700    0.000    1.000      0.700    0.824      0.833    0.882     0.806     4
                 1.000    0.016    0.444      1.000    0.615      0.661    0.994     0.554     5
                 0.375    0.026    0.273      0.375    0.316      0.299    0.726     0.182     6
                 0.000    0.006    0.000      0.000    0.000      -0.008   0.437     0.010     7
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.494     0.010     8
                 0.600    0.010    0.750      0.600    0.667      0.656    0.789     0.630     9
                 0.500    0.006    0.500      0.500    0.500      0.494    0.741     0.423     10
                 0.615    0.095    0.480      0.615    0.539      0.469    0.824     0.529     11
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.624     0.023     12
                 0.828    0.159    0.348      0.828    0.490      0.468    0.862     0.357     13
                 0.333    0.000    1.000      0.333    0.500      0.575    0.667     0.340     14
                 0.375    0.000    1.000      0.375    0.545      0.607    0.749     0.488     15
                 0.667    0.013    0.500      0.667    0.571      0.568    0.820     0.540     16
                 0.667    0.003    0.857      0.667    0.750      0.750    0.827     0.676     17
                 0.600    0.016    0.375      0.600    0.462      0.464    0.787     0.366     18
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     19
                 0.667    0.000    1.000      0.667    0.800      0.815    0.833     0.670     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.006     21
                 0.667    0.057    0.579      0.667    0.620      0.573    0.810     0.413     22
                 0.375    0.000    1.000      0.375    0.545      0.607    0.914     0.458     23
                 0.947    0.010    0.857      0.947    0.900      0.894    0.973     0.951     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.003     25
                 1.000    0.003    0.750      1.000    0.857      0.865    0.998     0.750     26
                 0.500    0.003    0.667      0.500    0.571      0.573    0.872     0.524     27
                 0.727    0.000    1.000      0.727    0.842      0.849    0.863     0.737     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.003     29
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.498     0.003     30
                 0.182    0.010    0.400      0.182    0.250      0.252    0.668     0.299     31
                 0.200    0.010    0.250      0.200    0.222      0.212    0.671     0.080     32
                 0.667    0.006    0.500      0.667    0.571      0.573    0.831     0.448     33
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.498     0.006     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.333    0.000    1.000      0.333    0.500      0.574    0.666     0.346     36
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.581     0.014     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.465     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.750     0.503     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.748     0.253     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.617     0.012     43
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.495     0.003     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.495     0.003     46
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.743     0.128     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.006     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.006     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.406     0.006     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.003     52
Weighted Avg.    0.558    0.036    0.566      0.558    0.531      0.520    0.795     0.475     
