
 Results 
=====

Correctly Classified Instances         128               49.8054 %
Incorrectly Classified Instances       129               50.1946 %
Kappa statistic                          0.4665
K&B Relative Info Score              11380.5808 %
K&B Information Score                  620.0534 bits      2.4127 bits/instance
Class complexity | order 0            1386.1959 bits      5.3938 bits/instance
Class complexity | scheme           116095.9636 bits    451.7353 bits/instance
Complexity improvement     (Sf)    -114709.7677 bits   -446.3415 bits/instance
Mean absolute error                      0.0178
Root mean squared error                  0.1137
Relative absolute error                 57.332  %
Root relative squared error             91.3315 %
Coverage of cases (0.95 level)          56.8093 %
Mean rel. region size (0.95 level)       5.5479 %
Total Number of Instances              257     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.455    0.004    0.833      0.455    0.588      0.604    0.686     0.483     1
                 0.632    0.029    0.632      0.632    0.632      0.602    0.876     0.496     2
                 1.000    0.012    0.700      1.000    0.824      0.832    0.997     0.910     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.400    0.054    0.316      0.400    0.353      0.310    0.728     0.249     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     6
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.496     0.008     7
                 0.500    0.004    0.667      0.500    0.571      0.572    0.840     0.579     8
                 0.667    0.008    0.500      0.667    0.571      0.572    0.827     0.282     9
                 0.357    0.004    0.833      0.357    0.500      0.531    0.707     0.343     10
                 0.800    0.203    0.343      0.800    0.480      0.431    0.796     0.305     11
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.479     0.004     12
                 0.889    0.000    1.000      0.889    0.941      0.941    0.944     0.893     13
                 0.250    0.000    1.000      0.250    0.400      0.497    0.619     0.262     14
                 0.667    0.033    0.556      0.667    0.606      0.582    0.885     0.738     15
                 0.333    0.012    0.250      0.333    0.286      0.279    0.646     0.091     16
                 1.000    0.008    0.750      1.000    0.857      0.863    0.996     0.833     17
                 0.500    0.000    1.000      0.500    0.667      0.706    0.750     0.504     18
                 0.778    0.020    0.583      0.778    0.667      0.660    0.879     0.786     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.989     0.278     20
                 0.692    0.020    0.643      0.692    0.667      0.649    0.829     0.708     21
                 0.500    0.008    0.600      0.500    0.545      0.538    0.728     0.512     22
                 0.400    0.004    0.667      0.400    0.500      0.509    0.894     0.584     23
                 0.167    0.004    0.500      0.167    0.250      0.280    0.550     0.053     24
                 0.400    0.004    0.667      0.400    0.500      0.509    0.696     0.412     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.746     0.171     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.482     0.008     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.443     0.004     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.008     32
                 0.600    0.020    0.375      0.600    0.462      0.461    0.790     0.360     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.496     0.004     35
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.490     0.004     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.478     0.008     38
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.490     0.008     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.008     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     42
                 1.000    0.016    0.429      1.000    0.600      0.649    0.992     0.476     43
                 0.000    0.039    0.000      0.000    0.000      -0.022   0.566     0.018     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.479     0.004     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     46
                 0.000    0.004    0.000      0.000    0.000      -0.007   0.663     0.174     47
                 0.000    0.012    0.000      0.000    0.000      -0.014   0.407     0.016     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.740     0.087     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.663     0.019     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.383     0.004     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.486     0.004     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.498     0.004     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.371     0.004     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.484     0.004     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.494     0.004     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.500     0.004     62
Weighted Avg.    0.498    0.036    0.481      0.498    0.459      0.451    0.755     0.413     
