
 Results 
=====

Correctly Classified Instances         177               70.2381 %
Incorrectly Classified Instances        75               29.7619 %
Kappa statistic                          0.5897
K&B Relative Info Score              13099.3912 %
K&B Information Score                  621.0558 bits      2.4645 bits/instance
Class complexity | order 0            1126.7059 bits      4.4711 bits/instance
Class complexity | scheme             2778.8729 bits     11.0273 bits/instance
Complexity improvement     (Sf)      -1652.167  bits     -6.5562 bits/instance
Mean absolute error                      0.0101
Root mean squared error                  0.0953
Relative absolute error                 35.6008 %
Root relative squared error             81.3746 %
Coverage of cases (0.95 level)          72.619  %
Mean rel. region size (0.95 level)       2.0947 %
Total Number of Instances              252     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.875    0.004    0.875      0.875    0.875      0.871    0.999     0.986     1
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     2
                 0.990    0.444    0.599      0.990    0.746      0.566    0.926     0.909     3
                 0.833    0.000    1.000      0.833    0.909      0.911    0.999     0.976     4
                 0.000    0.000    0.000      0.000    0.000      0.000    0.136     0.007     5
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     6
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     7
                 0.800    0.000    1.000      0.800    0.889      0.893    0.965     0.821     8
                 0.857    0.000    1.000      0.857    0.923      0.924    0.995     0.920     9
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     10
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.067     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     12
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.056     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     14
                 0.714    0.013    0.769      0.714    0.741      0.727    0.950     0.792     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.500    0.000    1.000      0.500    0.667      0.704    0.936     0.703     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.822     0.032     19
                 0.000    0.000    0.000      0.000    0.000      0.000    0.780     0.259     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.336     0.009     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.346     0.009     22
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.428     0.010     23
                 0.714    0.000    1.000      0.714    0.833      0.842    0.964     0.872     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.948     0.071     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.378     0.009     27
                 0.500    0.004    0.667      0.500    0.571      0.572    0.936     0.592     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     29
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.681     0.111     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     35
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.230     0.008     37
                 0.667    0.000    1.000      0.667    0.800      0.815    0.701     0.671     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.960     0.091     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.908     0.042     40
                 0.667    0.008    0.750      0.667    0.706      0.697    0.941     0.722     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.158     0.007     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.077     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     45
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     46
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     47
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.940     0.063     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.968     0.111     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.250     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.964     0.100     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.936     0.059     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.125     55
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.125     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.077     58
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.200     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     61
Weighted Avg.    0.702    0.179    0.598      0.702    0.626      0.555    0.908     0.751     
