
 Results 
=====

Correctly Classified Instances         233               71.6923 %
Incorrectly Classified Instances        92               28.3077 %
Kappa statistic                          0.6932
K&B Relative Info Score              21244.3371 %
K&B Information Score                 1090.3836 bits      3.355  bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme             1908.6224 bits      5.8727 bits/instance
Complexity improvement     (Sf)       -288.7563 bits     -0.8885 bits/instance
Mean absolute error                      0.0097
Root mean squared error                  0.0899
Relative absolute error                 30.3366 %
Root relative squared error             71.101  %
Coverage of cases (0.95 level)          79.0769 %
Mean rel. region size (0.95 level)       2.3729 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.872    0.080    0.596      0.872    0.708      0.676    0.969     0.912     1
                 0.750    0.000    1.000      0.750    0.857      0.865    1.000     1.000     2
                 1.000    0.003    0.917      1.000    0.957      0.956    1.000     1.000     3
                 0.700    0.036    0.560      0.700    0.622      0.599    0.950     0.750     4
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     5
                 0.846    0.003    0.917      0.846    0.880      0.876    0.997     0.945     6
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     7
                 0.615    0.026    0.500      0.615    0.552      0.534    0.946     0.676     8
                 0.875    0.047    0.600      0.875    0.712      0.699    0.983     0.881     9
                 0.800    0.000    1.000      0.800    0.889      0.893    0.826     0.804     10
                 0.800    0.010    0.727      0.800    0.762      0.755    0.989     0.861     11
                 0.333    0.000    1.000      0.333    0.500      0.576    0.984     0.722     12
                 0.939    0.076    0.687      0.939    0.793      0.763    0.982     0.940     13
                 0.667    0.003    0.667      0.667    0.667      0.664    0.999     0.917     14
                 0.706    0.016    0.706      0.706    0.706      0.690    0.992     0.893     15
                 0.714    0.003    0.833      0.714    0.769      0.767    0.985     0.837     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.176     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.972     0.100     19
                 0.400    0.000    1.000      0.400    0.571      0.630    0.960     0.653     20
                 0.833    0.000    1.000      0.833    0.909      0.911    0.999     0.976     21
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     22
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.944     0.053     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.750    0.003    0.750      0.750    0.750      0.747    0.998     0.917     26
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     27
                 0.600    0.006    0.750      0.600    0.667      0.662    0.994     0.852     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.618     0.019     30
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.646     0.014     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     34
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     35
                 0.750    0.000    1.000      0.750    0.857      0.865    0.998     0.917     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     37
                 0.333    0.000    1.000      0.333    0.500      0.574    0.968     0.603     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.250     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.111     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.083     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.964     0.210     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.969     0.091     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.988     0.200     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.954     0.063     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.941     0.050     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.954     0.063     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.351     0.007     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.083     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.932     0.043     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.975     0.111     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.985     0.167     59
Weighted Avg.    0.717    0.030    0.663      0.717    0.673      0.664    0.966     0.816     
