
 Results 
=====

Correctly Classified Instances         244               78.2051 %
Incorrectly Classified Instances        68               21.7949 %
Kappa statistic                          0.7664
K&B Relative Info Score              22296.7836 %
K&B Information Score                 1139.9236 bits      3.6536 bits/instance
Class complexity | order 0            1572.6878 bits      5.0407 bits/instance
Class complexity | scheme             2098.9018 bits      6.7272 bits/instance
Complexity improvement     (Sf)       -526.214  bits     -1.6866 bits/instance
Mean absolute error                      0.0088
Root mean squared error                  0.0861
Relative absolute error                 24.0677 %
Root relative squared error             63.688  %
Coverage of cases (0.95 level)          79.8077 %
Mean rel. region size (0.95 level)       2.5025 %
Total Number of Instances              312     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.205     0.006     2
                 0.600    0.000    1.000      0.600    0.750      0.772    0.934     0.809     3
                 0.800    0.000    1.000      0.800    0.889      0.891    0.993     0.905     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.750    0.007    0.750      0.750    0.750      0.743    0.988     0.836     6
                 0.000    0.000    0.000      0.000    0.000      0.000    0.894     0.366     7
                 0.333    0.000    1.000      0.333    0.500      0.575    0.999     0.917     8
                 0.867    0.003    0.929      0.867    0.897      0.892    0.987     0.926     9
                 0.500    0.000    1.000      0.500    0.667      0.705    0.817     0.612     10
                 0.949    0.051    0.725      0.949    0.822      0.803    0.989     0.952     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.690     0.026     12
                 1.000    0.049    0.674      1.000    0.806      0.801    0.994     0.940     13
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     14
                 0.750    0.000    1.000      0.750    0.857      0.863    0.998     0.946     15
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     16
                 0.889    0.003    0.889      0.889    0.889      0.886    0.993     0.900     17
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     18
                 0.800    0.000    1.000      0.800    0.889      0.893    1.000     1.000     19
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.739     0.048     21
                 0.970    0.082    0.582      0.970    0.727      0.716    0.992     0.952     22
                 0.750    0.003    0.857      0.750    0.800      0.797    0.935     0.772     23
                 0.947    0.003    0.947      0.947    0.947      0.944    0.978     0.954     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.920     0.038     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     27
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.920     0.038     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.167     30
                 0.727    0.023    0.533      0.727    0.615      0.607    0.972     0.723     31
                 0.400    0.003    0.667      0.400    0.500      0.511    0.905     0.581     32
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.934     0.150     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.667    0.000    1.000      0.667    0.800      0.814    0.994     0.852     36
                 0.000    0.003    0.000      0.000    0.000      -0.006   0.943     0.136     37
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     38
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.968     0.091     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.997     0.500     40
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     41
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.148     0.006     43
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.994     0.333     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.143     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.167     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.321     0.007     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.197     0.006     48
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.748     0.018     50
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.994     0.333     52
Weighted Avg.    0.782    0.021    0.744      0.782    0.745      0.743    0.958     0.841     
