
 Results 
=====

Correctly Classified Instances         146               70.1923 %
Incorrectly Classified Instances        62               29.8077 %
Kappa statistic                          0.6732
K&B Relative Info Score              13025.7927 %
K&B Information Score                  679.1894 bits      3.2653 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme             1332.5695 bits      6.4066 bits/instance
Complexity improvement     (Sf)       -271.078  bits     -1.3033 bits/instance
Mean absolute error                      0.0108
Root mean squared error                  0.0963
Relative absolute error                 31.9831 %
Root relative squared error             74.2002 %
Coverage of cases (0.95 level)          75.4808 %
Mean rel. region size (0.95 level)       2.5069 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.800    0.000    1.000      0.800    0.889      0.892    0.999     0.967     5
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     6
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     8
                 0.600    0.000    1.000      0.600    0.750      0.771    0.944     0.776     9
                 0.889    0.134    0.582      0.889    0.703      0.648    0.950     0.878     10
                 0.950    0.048    0.679      0.950    0.792      0.779    0.991     0.944     11
                 1.000    0.005    0.875      1.000    0.933      0.933    0.999     0.982     12
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     13
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.957     0.100     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.885     0.680     17
                 1.000    0.106    0.487      1.000    0.655      0.660    0.979     0.810     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.111     19
                 0.923    0.000    1.000      0.923    0.960      0.958    0.998     0.982     20
                 0.000    0.010    0.000      0.000    0.000      -0.007   0.947     0.083     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     22
                 0.667    0.000    1.000      0.667    0.800      0.812    0.981     0.823     23
                 0.667    0.000    1.000      0.667    0.800      0.815    0.746     0.673     24
                 0.667    0.005    0.667      0.667    0.667      0.662    0.767     0.674     25
                 0.500    0.000    1.000      0.500    0.667      0.704    0.893     0.544     26
                 0.833    0.000    1.000      0.833    0.909      0.911    0.998     0.944     27
                 0.000    0.014    0.000      0.000    0.000      -0.008   0.976     0.167     28
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     30
                 0.667    0.000    1.000      0.667    0.800      0.815    0.732     0.673     31
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.990     0.333     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     36
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.961     0.111     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.071     38
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.978     0.250     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.981     0.200     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.893     0.522     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.820     0.513     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     46
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.976     0.167     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.883     0.520     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.971     0.143     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.928     0.063     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.993     0.500     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.952     0.091     56
Weighted Avg.    0.702    0.038    0.649      0.702    0.650      0.643    0.965     0.806     
