
 Results 
=====

Correctly Classified Instances         228               70.1538 %
Incorrectly Classified Instances        97               29.8462 %
Kappa statistic                          0.6751
K&B Relative Info Score              17110.6726 %
K&B Information Score                  878.2197 bits      2.7022 bits/instance
Class complexity | order 0            1619.8661 bits      4.9842 bits/instance
Class complexity | scheme            28454.0355 bits     87.5509 bits/instance
Complexity improvement     (Sf)     -26834.1694 bits    -82.5667 bits/instance
Mean absolute error                      0.0218
Root mean squared error                  0.095 
Relative absolute error                 67.8389 %
Root relative squared error             75.1861 %
Coverage of cases (0.95 level)          91.3846 %
Mean rel. region size (0.95 level)      24.3286 %
Total Number of Instances              325     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.949    0.077    0.627      0.949    0.755      0.735    0.974     0.926     1
                 0.750    0.000    1.000      0.750    0.857      0.865    0.999     0.917     2
                 1.000    0.006    0.846      1.000    0.917      0.917    1.000     0.992     3
                 0.800    0.062    0.457      0.800    0.582      0.572    0.913     0.750     4
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     5
                 1.000    0.006    0.867      1.000    0.929      0.928    1.000     1.000     6
                 0.333    0.000    1.000      0.333    0.500      0.576    0.999     0.917     7
                 0.154    0.003    0.667      0.154    0.250      0.309    0.927     0.404     8
                 0.750    0.017    0.783      0.750    0.766      0.748    0.966     0.853     9
                 0.800    0.000    1.000      0.800    0.889      0.893    0.962     0.812     10
                 0.600    0.003    0.857      0.600    0.706      0.710    0.983     0.845     11
                 0.000    0.003    0.000      0.000    0.000      -0.005   0.946     0.223     12
                 0.939    0.123    0.575      0.939    0.713      0.677    0.971     0.936     13
                 1.000    0.003    0.750      1.000    0.857      0.865    0.999     0.917     14
                 0.706    0.006    0.857      0.706    0.774      0.767    0.979     0.868     15
                 0.857    0.009    0.667      0.857    0.750      0.750    0.997     0.908     16
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     17
                 0.000    0.000    0.000      0.000    0.000      0.000    0.358     0.006     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.434     0.003     19
                 0.200    0.000    1.000      0.200    0.333      0.444    0.978     0.780     20
                 0.333    0.000    1.000      0.333    0.500      0.574    0.855     0.611     21
                 0.900    0.000    1.000      0.900    0.947      0.947    1.000     1.000     22
                 0.600    0.000    1.000      0.600    0.750      0.772    0.996     0.817     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.468     0.003     24
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     25
                 0.750    0.000    1.000      0.750    0.857      0.865    0.998     0.893     26
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     27
                 0.800    0.006    0.800      0.800    0.800      0.794    0.992     0.800     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.431     0.003     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.991     0.292     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.377     0.003     31
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     32
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.409     0.003     34
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     35
                 1.000    0.003    0.800      1.000    0.889      0.893    1.000     1.000     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.458     0.003     37
                 0.333    0.000    1.000      0.333    0.500      0.574    0.894     0.505     38
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.404     0.003     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.003     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.446     0.003     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.420     0.003     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.417     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.421     0.003     45
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.415     0.003     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.383     0.003     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.441     0.003     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.412     0.003     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.427     0.003     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.429     0.003     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.424     0.003     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.401     0.003     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.750     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.437     0.003     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.455     0.003     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.448     0.003     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.440     0.003     59
Weighted Avg.    0.702    0.034    0.677      0.702    0.653      0.651    0.929     0.789     
