
 Results 
=====

Correctly Classified Instances         209               69.2053 %
Incorrectly Classified Instances        93               30.7947 %
Kappa statistic                          0.671 
K&B Relative Info Score              17188.3253 %
K&B Information Score                  944.9453 bits      3.129  bits/instance
Class complexity | order 0            1623.5659 bits      5.376  bits/instance
Class complexity | scheme             1943.8406 bits      6.4366 bits/instance
Complexity improvement     (Sf)       -320.2748 bits     -1.0605 bits/instance
Mean absolute error                      0.015 
Root mean squared error                  0.0821
Relative absolute error                 55.3266 %
Root relative squared error             70.7218 %
Coverage of cases (0.95 level)          85.7616 %
Mean rel. region size (0.95 level)      18.7576 %
Total Number of Instances              302     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.842    0.035    0.615      0.842    0.711      0.698    0.964     0.841     1
                 0.944    0.028    0.680      0.944    0.791      0.787    0.980     0.914     2
                 0.951    0.107    0.582      0.951    0.722      0.696    0.978     0.930     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.667    0.000    1.000      0.667    0.800      0.815    0.998     0.867     5
                 0.750    0.000    1.000      0.750    0.857      0.865    0.986     0.798     6
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     7
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     8
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     9
                 0.923    0.014    0.750      0.923    0.828      0.824    0.996     0.925     10
                 0.909    0.003    0.909      0.909    0.909      0.906    0.999     0.986     11
                 0.875    0.000    1.000      0.875    0.933      0.934    0.973     0.889     12
                 0.833    0.003    0.833      0.833    0.833      0.830    0.946     0.815     13
                 0.842    0.064    0.471      0.842    0.604      0.598    0.950     0.726     14
                 0.824    0.018    0.737      0.824    0.778      0.765    0.990     0.914     15
                 0.727    0.010    0.727      0.727    0.727      0.717    0.946     0.855     16
                 0.000    0.000    0.000      0.000    0.000      0.000    0.814     0.018     17
                 0.333    0.000    1.000      0.333    0.500      0.575    0.705     0.670     18
                 0.400    0.010    0.400      0.400    0.400      0.390    0.965     0.335     19
                 0.800    0.003    0.800      0.800    0.800      0.797    0.998     0.925     20
                 0.500    0.014    0.556      0.500    0.526      0.512    0.855     0.527     21
                 0.765    0.021    0.684      0.765    0.722      0.706    0.980     0.825     22
                 0.000    0.000    0.000      0.000    0.000      0.000    0.757     0.014     23
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.167     24
                 0.000    0.000    0.000      0.000    0.000      0.000    0.987     0.200     25
                 0.000    0.000    0.000      0.000    0.000      0.000    0.983     0.226     26
                 0.500    0.000    1.000      0.500    0.667      0.706    0.995     0.700     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.887     0.029     28
                 0.000    0.000    0.000      0.000    0.000      0.000    0.804     0.017     29
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     30
                 0.333    0.000    1.000      0.333    0.500      0.575    0.884     0.438     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.884     0.028     32
                 0.600    0.000    1.000      0.600    0.750      0.772    0.870     0.765     33
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     34
                 0.000    0.003    0.000      0.000    0.000      -0.003   0.811     0.017     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.138     0.006     36
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     37
                 0.500    0.000    1.000      0.500    0.667      0.706    1.000     1.000     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.105     0.006     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.794     0.016     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.814     0.018     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.821     0.018     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.837     0.020     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.761     0.014     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.817     0.018     46
                 0.000    0.000    0.000      0.000    0.000      0.000    0.804     0.017     47
                 0.667    0.000    1.000      0.667    0.800      0.815    1.000     1.000     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.831     0.019     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.860     0.023     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.771     0.014     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.963     0.119     52
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.860     0.023     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.801     0.016     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.764     0.014     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.791     0.016     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.970     0.100     58
                 0.500    0.000    1.000      0.500    0.667      0.705    0.699     0.510     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.937     0.050     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.804     0.017     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.930     0.045     62
                 0.000    0.000    0.000      0.000    0.000      0.000    0.993     0.333     63
                 0.000    0.000    0.000      0.000    0.000      0.000    0.847     0.021     64
                 0.000    0.000    0.000      0.000    0.000      0.000    0.864     0.024     65
                 0.000    0.000    0.000      0.000    0.000      0.000    0.741     0.013     66
                 0.000    0.000    0.000      0.000    0.000      0.000    0.930     0.045     67
                 0.000    0.000    0.000      0.000    0.000      0.000    0.754     0.013     68
                 0.000    0.000    0.000      0.000    0.000      0.000    0.787     0.015     69
                 0.000    0.000    0.000      0.000    0.000      0.000    0.801     0.016     70
                 0.000    0.000    0.000      0.000    0.000      0.000    0.844     0.021     71
Weighted Avg.    0.692    0.026    0.623      0.692    0.638      0.633    0.939     0.737     
