
 Results 
=====

Correctly Classified Instances         184               71.5953 %
Incorrectly Classified Instances        73               28.4047 %
Kappa statistic                          0.6987
K&B Relative Info Score              15123.5336 %
K&B Information Score                  823.9824 bits      3.2062 bits/instance
Class complexity | order 0            1386.1959 bits      5.3938 bits/instance
Class complexity | scheme             1243.2947 bits      4.8377 bits/instance
Complexity improvement     (Sf)        142.9012 bits      0.556  bits/instance
Mean absolute error                      0.016 
Root mean squared error                  0.0862
Relative absolute error                 51.5826 %
Root relative squared error             69.224  %
Coverage of cases (0.95 level)          85.6031 %
Mean rel. region size (0.95 level)      19.5431 %
Total Number of Instances              257     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.818    0.008    0.818      0.818    0.818      0.810    0.986     0.877     1
                 1.000    0.042    0.655      1.000    0.792      0.792    0.993     0.919     2
                 0.714    0.004    0.833      0.714    0.769      0.766    0.996     0.900     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 0.933    0.062    0.483      0.933    0.636      0.646    0.971     0.759     5
                 0.000    0.000    0.000      0.000    0.000      0.000    0.867     0.029     6
                 0.000    0.004    0.000      0.000    0.000      -0.006   0.940     0.089     7
                 0.500    0.000    1.000      0.500    0.667      0.704    0.799     0.692     8
                 0.667    0.004    0.667      0.667    0.667      0.663    0.911     0.680     9
                 0.929    0.033    0.619      0.929    0.743      0.742    0.989     0.883     10
                 0.933    0.101    0.549      0.933    0.691      0.670    0.974     0.893     11
                 0.000    0.000    0.000      0.000    0.000      0.000    0.891     0.034     12
                 0.889    0.000    1.000      0.889    0.941      0.941    0.992     0.927     13
                 0.500    0.000    1.000      0.500    0.667      0.704    0.904     0.546     14
                 0.867    0.000    1.000      0.867    0.929      0.927    0.992     0.932     15
                 0.667    0.000    1.000      0.667    0.800      0.815    0.983     0.729     16
                 1.000    0.004    0.857      1.000    0.923      0.924    1.000     1.000     17
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     18
                 0.778    0.008    0.778      0.778    0.778      0.770    0.938     0.806     19
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     20
                 1.000    0.004    0.929      1.000    0.963      0.962    1.000     1.000     21
                 0.833    0.000    1.000      0.833    0.909      0.911    0.926     0.842     22
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     23
                 0.667    0.004    0.800      0.667    0.727      0.724    0.859     0.697     24
                 0.800    0.004    0.800      0.800    0.800      0.796    0.991     0.863     25
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     26
                 0.000    0.000    0.000      0.000    0.000      0.000    0.961     0.091     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.992     0.333     28
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.928     0.073     30
                 0.000    0.000    0.000      0.000    0.000      0.000    0.652     0.011     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.984     0.267     32
                 0.600    0.004    0.750      0.600    0.667      0.665    0.987     0.744     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.867     0.029     34
                 0.000    0.000    0.000      0.000    0.000      0.000    0.816     0.021     35
                 0.000    0.004    0.000      0.000    0.000      -0.004   0.820     0.021     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.852     0.026     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.750     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.488     0.012     39
                 0.000    0.000    0.000      0.000    0.000      0.000    0.754     0.016     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.980     0.267     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.766     0.016     42
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     43
                 0.333    0.016    0.200      0.333    0.250      0.247    0.836     0.145     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.762     0.016     45
                 0.000    0.000    0.000      0.000    0.000      0.000    0.855     0.026     46
                 0.667    0.000    1.000      0.667    0.800      0.815    0.734     0.672     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.322     0.014     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.583     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.781     0.018     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.721     0.024     51
                 0.000    0.000    0.000      0.000    0.000      0.000    0.816     0.021     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.727     0.014     53
                 0.000    0.000    0.000      0.000    0.000      0.000    0.867     0.029     54
                 0.000    0.000    0.000      0.000    0.000      0.000    0.773     0.017     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.797     0.019     56
                 0.000    0.000    0.000      0.000    0.000      0.000    0.813     0.020     57
                 0.000    0.000    0.000      0.000    0.000      0.000    0.848     0.025     58
                 0.000    0.000    0.000      0.000    0.000      0.000    0.996     0.500     59
                 0.000    0.000    0.000      0.000    0.000      0.000    0.785     0.018     60
                 0.000    0.000    0.000      0.000    0.000      0.000    0.871     0.029     61
                 0.000    0.000    0.000      0.000    0.000      0.000    0.793     0.019     62
Weighted Avg.    0.716    0.022    0.642      0.716    0.660      0.658    0.940     0.735     
