
 Results 
=====

Correctly Classified Instances         146               70.1923 %
Incorrectly Classified Instances        62               29.8077 %
Kappa statistic                          0.6707
K&B Relative Info Score              12574.263  %
K&B Information Score                  655.6458 bits      3.1521 bits/instance
Class complexity | order 0            1061.4915 bits      5.1033 bits/instance
Class complexity | scheme              904.2711 bits      4.3475 bits/instance
Complexity improvement     (Sf)        157.2204 bits      0.7559 bits/instance
Mean absolute error                      0.0167
Root mean squared error                  0.0889
Relative absolute error                 49.2731 %
Root relative squared error             68.5035 %
Coverage of cases (0.95 level)          88.4615 %
Mean rel. region size (0.95 level)      19.8661 %
Total Number of Instances              208     
=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     1
                 0.000    0.000    0.000      0.000    0.000      0.000    0.913     0.053     2
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     3
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     4
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     5
                 0.750    0.000    1.000      0.750    0.857      0.864    1.000     1.000     6
                 0.333    0.000    1.000      0.333    0.500      0.575    0.997     0.806     7
                 0.000    0.000    0.000      0.000    0.000      0.000    0.551     0.011     8
                 0.600    0.000    1.000      0.600    0.750      0.771    0.836     0.636     9
                 0.917    0.198    0.493      0.917    0.641      0.582    0.950     0.885     10
                 0.950    0.032    0.760      0.950    0.844      0.832    0.994     0.968     11
                 0.857    0.000    1.000      0.857    0.923      0.924    0.999     0.982     12
                 0.750    0.000    1.000      0.750    0.857      0.864    0.998     0.917     13
                 0.000    0.000    0.000      0.000    0.000      0.000    0.990     0.333     14
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     15
                 0.000    0.000    0.000      0.000    0.000      0.000    0.739     0.018     16
                 0.333    0.000    1.000      0.333    0.500      0.575    1.000     1.000     17
                 1.000    0.085    0.543      1.000    0.704      0.705    0.991     0.917     18
                 0.000    0.000    0.000      0.000    0.000      0.000    0.802     0.024     19
                 0.923    0.005    0.923      0.923    0.923      0.918    0.998     0.976     20
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.023     21
                 0.000    0.000    0.000      0.000    0.000      0.000    0.560     0.011     22
                 0.667    0.000    1.000      0.667    0.800      0.812    0.984     0.847     23
                 0.333    0.000    1.000      0.333    0.500      0.575    0.725     0.672     24
                 0.667    0.000    1.000      0.667    0.800      0.815    0.737     0.673     25
                 0.500    0.005    0.667      0.500    0.571      0.570    0.980     0.684     26
                 0.833    0.000    1.000      0.833    0.909      0.911    0.998     0.944     27
                 0.000    0.000    0.000      0.000    0.000      0.000    0.899     0.045     28
                 0.000    0.000    0.000      0.000    0.000      0.000    1.000     1.000     29
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.023     30
                 0.667    0.000    1.000      0.667    0.800      0.815    0.711     0.672     31
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     32
                 0.000    0.000    0.000      0.000    0.000      0.000    0.739     0.018     33
                 0.000    0.000    0.000      0.000    0.000      0.000    0.792     0.023     34
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     35
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.500     36
                 0.000    0.000    0.000      0.000    0.000      0.000    0.773     0.021     37
                 0.000    0.000    0.000      0.000    0.000      0.000    0.580     0.011     38
                 0.000    0.000    0.000      0.000    0.000      0.000    0.986     0.250     39
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.995     0.583     40
                 0.000    0.000    0.000      0.000    0.000      0.000    0.826     0.027     41
                 0.000    0.000    0.000      0.000    0.000      0.000    0.797     0.023     42
                 0.000    0.000    0.000      0.000    0.000      0.000    0.966     0.125     43
                 0.000    0.000    0.000      0.000    0.000      0.000    0.998     0.833     44
                 0.000    0.000    0.000      0.000    0.000      0.000    0.951     0.545     45
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.981     0.200     46
                 0.500    0.000    1.000      0.500    0.667      0.705    1.000     1.000     47
                 0.000    0.000    0.000      0.000    0.000      0.000    0.705     0.016     48
                 0.000    0.000    0.000      0.000    0.000      0.000    0.995     0.583     49
                 0.000    0.000    0.000      0.000    0.000      0.000    0.826     0.027     50
                 0.000    0.000    0.000      0.000    0.000      0.000    0.812     0.025     51
                 0.000    0.005    0.000      0.000    0.000      -0.005   0.792     0.023     52
                 0.000    0.000    0.000      0.000    0.000      0.000    0.725     0.017     53
                 1.000    0.000    1.000      1.000    1.000      1.000    1.000     1.000     54
                 0.000    0.005    0.000      0.000    0.000      -0.007   0.990     0.417     55
                 0.000    0.000    0.000      0.000    0.000      0.000    0.816     0.026     56
Weighted Avg.    0.702    0.046    0.653      0.702    0.647      0.640    0.949     0.794     
