@relation 'Dataset kitsi title_co-authors xli'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54}
@data
'integr complet r partit graph l wang c hoede',1
'minimum on problem tree w chen c wang x zhang',1
'integr tree diamet l wang h broersma c hoede g still',1
'famili integr tree diamet l wang s zhang',1
'languag descript verif mobil agent algorithm j cao y he',1
'direct execut approach simul mobil agent algorithm j cao y he',1
'us object deputi model prepar data data wareh z peng q li l feng j liu',1
'number remov edg connect graph j wu j su',1
'hexagon system fix bond f zhang h zhang',1
'approach conjectur short cycl digraph h broersma',1
'connect see graph aee graph connect span k edg subgraph graph nan',1
'direct execut simul mobil agent algorithm j cao s king y he',1
'problem conjectur adjointli equival graph h zhao r liu',1
'partit edg color complet multipartit graph monochromat cycl path tree z jin m kano b wei',1
'number span tree eulerian tour gener bruijn graph f zhang',1
'integr tree diamet l wang',1
'combinatori algorithm minimum weight color claw free perfect graph w zang',1
'remov edg cycl connect graph j wu l wang',1
'comput scatter number graph s zhang x han',1
'connect n m graph minimum maximum zeroth order gener randic index y hu y shi t xu',1
'tree graph defin set cycl v neumann lara e rivera campo',1
'ruptur degre graph y li s zhang',1
'field base collabor strategi madc y he z du d cooley j he',1
'connect leaf exchang span tree graph graph h broersma',1
'fan type condit heavi cycl weight graph s zhang h broersma l wang',1
'hamilton type interchang graph f zhang',1
'unifi approach first deriv graph polynomi i gutman',1
'solut gutman s problem characterist polynomi bipartit graph h zhang',1
'hexagon system forc edg f zhang',1
'cliqu polynomi independ set polynomi graph c hoede',1
'heavi path cycl weight graph s zhang h broersma',1
'hexagon system forc singl edg nan',1
'chromat certain complet multipartit graph h zhao r liu c ye',1
'kernel special class digraph h galeana sanchez',1
'k path cover problem cacti z jin',1
'two approach gener leaf edg exchang graph span tree connect span k edg subgraph graph v neumann lara e rivera campo',1
'binari construct quantum code minimum distanc three four r li',1
'two class integr regular graph l wang c hoede',1
'lower bound connect direct euler tour transform graph nan',1
'match polynomi polygraph h broersma',1
'degre sum subpancycl line graph l xiong h broersma c hoede',1
'mades simul environ mobil agent j cao y he y chen',1
'remov edg longest cycl connect graph j wu',1
'hamiltonian index graph branch bond l xiong h broersma m li',1
'local construct bound degre planar spanner wireless ad hoc network y wang',2
'simultan refin coarsen adapt mesh s teng a ongor',2
'construct minimum energi mobil wireless network p wan',2
'space control sliver free delaunai mesh nan',2
'truth low cost unicast selfish wireless network w wang',2
'gener well shape d dimension delaunai mesh nan',2
'share multicast payment fairli w wang z sun',2
'k anycast game selfish network w wang o frieder',2
'robust posit base rout wireless ad hoc network k moaveninejad w song',2
'minimum energi broadcast us practic direct antenna wireless network s roy y hu d peroulis',2
'practic traffic groom scheme singl hub sonet wdm ring l liu p wan o frieder',2
'theoret good distribut cdma ovsf code assign wireless ad hoc network p wan',2
'algorithm geometr graph issu wireless network nan',2
'region gossip rout wireless ad hoc network k moaveninejad o frieder',2
'iter mine rule constrain anteced z sun p yu',2
'dynam load balanc parallel adapt mesh refin s teng',2
'mechan design set cover game element agent z sun w wang x chu',2
'spars power effici topolog wireless network p wan y wang o frieder',2
'toward truth mechan binari demand game gener framework m kao w wang',2
'minimum power assign wireless ad hoc network spanner properti y wang',2
'approxim mst udg local nan',2
'local construct bound degre planar spanner wireless ad hoc network y wang',2
'cost share strategyproof mechan set cover game z sun w wang',2
'construct minimum energi mobil wireless network p wan',2
'minimum energi broadcast rout static ad hoc wireless network p wan g calinescu o frieder',2
'ovsf cdma code assign wireless ad hoc network p wan o frieder',2
'distribut spanner bound degre wireless ad hoc network y wang',2
'gener well shape d dimension delaunai mesh nan',2
'bite sphere 3d s teng a ongor',2
'region gossip rout wireless ad hoc network k moaveninejad o frieder',2
'proxim structur geometr graph s kapoor',2
