@relation 'Dataset kitsi title_co-authors ychen'
@attribute Text string
@attribute class-att {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71}
@data
'toward unbias end end network diagnosi y zhao d bindel',1
'resili flow level intrus detect approach high speed network y gao z li',1
'end end infer router packet forward prioriti g lu s birrer f bustamante c cheung x li',1
'cluster web content effici replic l qiu w chen l nguyen r katz',1
'sketch base chang detect method evalu applic b krishnamurthy s sen y zhang',1
'sahara model servic composit across multipl provid b raman s agarwal m caesar w cui p johansson k lai t lavian s machiraju z mao g porter t roscoe m seshadri j shih k sklower l subramanian t suzuki s zhuang a joseph r katz i stoica',1
'stabil network distanc estim k lim r katz c overton',1
'scan dynam scalabl effici content distribut network r katz j kubiatowicz',1
'dynam replica placement scalabl content deliveri r katz j kubiatowicz',1
'idgraph intrus detect analysi us stream composit p ren y gao z li b watson',1
'quantifi network denial servic locat servic case studi a bargteil d bindel r katz j kubiatowicz',1
'oceanstor architectur global scale persist storag j kubiatowicz d bindel s czerwinski p eaton d geels r gummadi s rhea h weatherspoon w weimer c wells b zhao',1
'physic base anim volumetr object q zhu a kaufman s muraki',1
'revers hash high speed network monitor algorithm evalu applic r schweller z li y gao a gupta y zhang p dinda m kao g memik',1
'tomographi base overlai network monitor d bindel r katz',1
'revers sketch effici accur chang detect network data stream r schweller a gupta e parsons',1
'algebra approach practic scalabl overlai network monitor d bindel h song r katz',1
'suit scheme user level network diagnosi without infrastructur y zhao',1
'idgraph intrus detect analysi us histograph p ren y gao z li b watson',1
'guest editor s introduct nan',2
'concept learn text document j an',2
'us object trajectori analysi facilit index retriev video c lopez',2
'analyz inconsist toward enhanc integr biolog molecular databas q chen',2
'extens detect index highlight event broadcast sport video d tjondronegoro b pham',2
'detect collus attack secur protocol q chen s zhang c zhang',2
'classif self consum highlight soccer video summari d tjondronegoro b pham',2
'find short pattern classifi text document j an',2
'similar search algorithm predict protein structur j an',2
'multi level semant analysi sport video d tjondronegoro',2
'content base video index sport applic us integr multi modal approach d tjondronegoro b pham',2
'yet anoth induct algorithm j an',2
'mine frequent itemset protein kinas regul q chen c zhang l li',2
'side chain conform prefer protein structur j an c subramaniam',2
'automat pattern taxonomi extract web mine s wu y li y xu b pham',2
'surfac spatial index structur high dimension space j an q xu',2
'new index method high dimension dataset j an q xu x zhou',2
'analyz secur protocol us associ rule mine q chen',2
'testabl softwar servic orient architectur w tsai j gao x wei',3
'vote multi dimension data deviat web servic group test w tsai d zhang h huang',3
'soa base pipelin system deal astronomi telescop data m wang z du z cheng',3
'architectur classif soa base applic w tsai c fan r paul j chung',3
'effici xpath queri processor xml stream s davidson y zheng',3
'vitex stream xpath process system s davidson y zheng',3
'stochast vote algorithm web servic group test w tsai d zhang r paul',3
'model store scientif protocol n kwasnikowska z lacroix',3
'binari analysi autom hot patch web base applic h huang w tsai',3
'specif base verif valid web servic servic orient oper system w tsai r paul',3
'xkvalid constraint valid xml s davidson y zheng',3
'global softwar enterpris new softwar construct architectur w tsai b xiao r paul q huang',3
'adapt web servic test x bai z shao',3
'servic schedul trustworthi system nan',3
'qpiad queri process incomplet autonom databas h khatri j fan s kambhampati',3
'cooper group test verif dynam composit web servic w tsai r paul n liao h huang',3
'simul verif valid dynam polici enforc w tsai x liu r paul',3
'ucsoa user centric servic orient architectur m chang j he w tsai b xiao',3
'dynam collabor simul servic orient comput paradigm w tsai q huang x sun',3
'soa collabor model analysi simul psml c b xiao w tsai q huang r paul',3
'rtsoa real time servic orient architectur w tsai y lee z cao b xiao',3
'l tree dynam label structur order xml data g mihaila r bordawekar s padmanabhan',3
'distribut polici specif enforc servic orient busi system w tsai x liu',3
'design evalu xpath dialect linguist queri s bird s davidson h lee y zheng',3
'bla effici xpath process system s davidson y zheng',3
'perspect servic orient comput servic orient system engin w tsai m malek f bastani',3
'autonom hot patch web base applic h huang w tsai',3
'test web servic us progress group test w tsai z cao x bai h huang r paul',3
'structur orient depend evalu fault toler protocol w gorke',3
'servic orient model simul framework rapid develop distribut applic w tsai c fan r paul',3
'model softwar oper reliabl via input domain base reliabl growth model nan',3
'verif framework dynam collabor servic servic orient architectur w tsai q huang b xiao',3
'store discov critic workflow log scientif explor q shao m kinsy',3
'identifi meaning return inform xml keyword search z liu',3
'simul highli depend applic distribut comput environ z he',3
'pi4soa polici infrastructur verif control servic collabor x zhou w tsai x wei b xiao',3
'progress rank composit web servic us cover arrai c colbourn w tsai',3
'queri process incomplet autonom databas g wolf h kathri b chokshi j fan s kambhampati',3
'expedit system encod xml process g mihaila s davidson s padmanabhan',3
'infrastructur web servic migrat real time applic w hao t gao i yen r paul',3
'adapt test oracl gener test case rank web servic w tsai r paul h huang x zhou x wei',3
'collabor internet worm contain m cai k hwang y kwok s song',4
'filter shrew ddo attack frequenc domain k hwang y kwok',4
'collabor detect filter shrew ddo attack us spectral analysi k hwang',4
